uuid,article_content,translated_article,article_summary,post_content,translated_post,platform,language,category,organization,veracity,country,topic,generation_model,human_format,extraction_status,source_filepath
15f854d1-b4e0-48c7-aa5f-85c64531bd78,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
4f766209-17b4-47e2-9d2e-4bf9cb4710dd,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
f9dff816-651a-4ffd-a48f-829674b46b57,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
694192e6-5b2d-4dc0-a244-62c709e35839,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
b6378ddd-1fc6-4edf-a7c0-89ff79638cbf,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
e37e8c33-31ba-4a3e-a885-98e813270268,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
44023a9f-e1c7-4e70-989a-b9e0b49385dc,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
311be89c-ccd3-4222-bee8-56ba227f1cd7,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
24e7cca1-d936-474b-afe7-00279420ad35,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,manipulation,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
8cc591d6-858d-463b-ab96-e395ffd89e6f,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
