uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
1fbb1d70-9ade-469e-9ed6-f5fbc57d8824,"Sydney mother Katie Elfar has welcomed son Beau through IVF three years after her husband Karim's 2010 cancer death. The couple, who met in 2007 and had son Oscar in 2009, preserved sperm before Karim's chemotherapy for terminal cancer that later spread to his bone marrow and blood. After Karim's passing, Katie endured both joy and tragedy - successfully conceiving Beau in 2013 but losing another son named Karim at 23 weeks gestation. 'He lives on through our boys,' Katie told Woman's Day, noting how Beau and Oscar carry their father's mannerisms and smile.","Sidnėjaus gyventoja Katie Elfar tris metus po vyro Karim mirties nuo vėžio 2010 m. sėkmingai susilaukė sūnaus Beau per IVF procedūrą. Susipažinę 2007 m. ir jau turėję sūnų Oscar (g. 2009 m.), pora susidūrė su lemtinga diagnoze, kai Karimui nustatė vėžį, paplitusį į kaulų čiulpą ir kraują. Prieš pradedant chemoterapiją, jie išsaugojo vyro spermą. Po Karim mirties 2010 m. lapkritį, Katie išgyveno ir džiaugsmą - 2013 m. vasario 7 d. gimė Beau, ir tragediją - antrasis sūnus Karim mirė vos 23 savaičių nėštumo. 'Jis gyvena mūsų sūnų šypsenose ir judesiuose,' teigė Katie žurnalui 'Woman's Day', pabrėždama, kad vaikai išlaiko tėvo atminimą.","💙 Miracle of love! Sydney mum Katie welcomed baby Beau via IVF 3 YEARS after losing husband Karim to cancer. Their story of hope, loss, and enduring family bonds will move you! #LoveBeyondLife #IVFHope #FamilyLegacy",💙 Meilės stebuklas! Sidnėjaus motina Katie tris metus po vyro Karim mirties nuo vėžio susilaukė sūnaus Beau per IVF. Jų kelias per netektis ir viltį žavi širdis! #MeilėPerGyvenimą #IVFViltis #ŠeimosPaveldas,lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_1fbb1d70-9ade-469e-9ed6-f5fbc57d8824_lit_polish.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
34cc1f9d-56cb-45da-85b0-b0adb16d4e7f,"Sachin Tendulkar asserts that the Indian Super League (ISL) has the potential to match major global football tournaments. The cricket legend, speaking at Lord's during his autobiography 'Playing It My Way' launch, emphasized ISL's capacity to reshape Indian football. Tendulkar, co-owner of Kerala Blasters, highlighted the franchise's recruitment of former England goalkeeper David James as coach and marquee player. The team also includes ex-Football League players Iain Hume and Michael Chopra. The ISL has attracted international stars like Robert Pires and Alessandro Del Piero, mirroring cricket's IPL model. Tendulkar acknowledged football's current secondary status to cricket in India but noted overwhelming fan response during a Kerala event: 'The crowd was so loud I couldn't hear questions.' Despite India's football challenges - including failure to qualify for the 2015 Asian Cup - he believes sustained effort through ISL will develop new talent. 'Progress requires work from all directions, but we're building platforms for players' dreams,' he stated during his London book tour attended by hundreds.","Sachinas Tendulkaras teigia, kad Indijos Superlyga (ISL) gali lygintis su didžiausiomis pasaulio futbolo varžybomis. Kriketo legenda, kalbėdamas Lord's krikšto metu pristatydamas autobiografiją 'Žaidžiu Savo Būdu', pabrėžė ISL galimybes pertvarkyti Indijos futbolą. Tendulkaras, Kerala Blasters bendrasavininkas, pabrėžė, kad komanda įsigijo buvusį Anglijos vartininką Deividą Džeimsą kaip trenerį ir pagrindinį žaidėją. Komandoje taip pat žaidžia buvę Anglijos Futbolo Lygos žaidėjai Iainas Hiumas ir Maiklas Čopra. ISL prisiviliė tokias tarptautines žvaigždes kaip Robertas Piras ir Aleksandras Del Pjeras, atkartodama kriketo IPL modelį. Tendulkaras pripažino, kad futbolas Indijoje kol kas nusileidžia kriketui, tačiau pabrėžė aistringą fanų reakciją per Kerala renginį: 'Minia buvo tokia triukšminga, kad negirdėjau klausimų.' Nepaisant Indijos futbolo iššūkių - įskaitant nesėkmę kvalifikuotis į 2015 m. Azijos taurę - jis tiki, kad nuoseklus ISL darbas ugdys naujus talentus. 'Pažanga reikalauja pastangų iš visų pusių, bet mes kuriame platformas žaidėjų svajonėms,' pareiškė jis per Londono knygos pristatymą, kuriame dalyvavo šimtai gerbėjų.",Cricket legend @sachintendulkar bets big on Indian football! 🏏→⚽ Says ISL can rival global leagues with stars like Pires & James lighting up the pitch. 'The fan energy in Kerala was deafening!' #ISLRevolution #IndianFootball,"Kriketo legenda @sachintendulkar statosi už Indijos futbolą! 🏏→⚽ Tvirtina, kad ISL su žvaigždėmis kaip Piras ir Džeimsas gali kovoti su pasaulio lygomis. 'Keralos fanų energija - tiesiog uždulkinanti!' #ISLRevoliucija #IndijosFutbolas",lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_34cc1f9d-56cb-45da-85b0-b0adb16d4e7f_lit_edit.json,eng,lit,eng,"[lit,eng]",eng,light,DialyNews,y,n,y,n
cc34af71-ea92-41d5-bdbe-f8ddd5e670dd,"Researchers from Aberystwyth University in West Wales are merging medieval glassmaking techniques with modern space technology to overcome imaging challenges on Mars. Their innovation for the European Space Agency's 2019 ExoMars Rover mission uses historical stained-glass methods involving gold and silver nanoparticles to ensure accurate color calibration. The Martian atmosphere's intense UV radiation typically distorts surface color data. Medieval artisans inadvertently created UV-resistant glass by suspending nanoparticles in their designs - a process now replicated for the rover's 3D Panoramic Camera (PanCam). Professor Dave Barnes notes: 'Century-old church windows proved these materials withstand solar exposure. We've revived traditional recipes to develop our reference standards.' Compact 50mm glass components weighing 25 grams underwent field testing in Chile's Atacama Desert, including locations featured in the James Bond film 'Quantum of Solace.' The PanCam system will utilize custom algorithms to process true-color imagery, aiding the rover's mission to analyze subsurface samples for signs of life.","Vakaru Velso Aberystvito universiteto mokslininkai sujungia viduramžių stiklo apdirbimo metodus su modernia kosmine technologija, spręsdami vaizdo registravimo problemas Marse. Jų inovacija Europos Kosmoso Agentūros 2019 m. 'ExoMars Rover' misijai naudoja aukso ir sidabro nanodalelių technologiją, perimtą iš viduramžių vitražų, siekiant tikslios spalvų kalibracijos. Marso atmosferoje vyraujanti ultravioletinė radiacija iškraipo paviršiaus spalvų perteikimą. Viduramžių amatininkai netyčia sukūrė UV spinduliams atsparų stiklą įterpdami nanodaleles - ši technika dabar pritaikyta marsaeigio 3D panoraminei kamerai (PanCam). Prof. Deivas Barns pažymi: 'Šimtmečius išsilaikę bažnyčių langai patvirtino šių medžiagų atsparumą. Mes atkūrėme tradicinius metodus etaloniniams standartams.' Kompaktiniai 50 mm stiklo elementai (25 g) testuoti Čilės Atakamos dykumoje, įskaitant 'Quantum of Solace' filmo vietas. PanCam naudos specialius algoritmus tikslaus spalvų atvaizdavimui, palengvindama marsaeigio darbus tiriant požeminius mėginius dėl gyvybės ženklų.",🚀 Medieval tech meets Mars! UK scientists use 500-year-old stained-glass secrets to fix NASA's color problems on the Red Planet. 🌍➡️🔴 #SpaceInnovation #HistoryInAction #MarsMission,🚀 Viduramžių technologijos Marse! Britų mokslininkai naudoja 500 m. senumo vitražų techniką spalvų problemoms spręsti raudonojoje planetoje. 🌍➡️🔴 #KosmosoMokslas #IstorijaVeikia #MarsoMisija,lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_cc34af71-ea92-41d5-bdbe-f8ddd5e670dd_lit_rewrite_moderate.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
0ecf772f-6df7-4e32-854b-a1131d7e0d87,"A criminal group that stole Audis worth over £200,000 for parts has been sentenced following a 2013 police raid on their sophisticated dismantling operation. Akhtar Zamir, Khuram Razaq, and Nakash Javaid stole four vehicles within five days from residential areas in Birmingham, Coventry, and Solihull. The group used key-copying devices to extract security data from vehicle computers and program blank keys. Zamir (25) and Razaq (23) received prison sentences of four years eight months and three years six months respectively after pleading guilty to conspiracy to steal vehicles. Javaid and Carlos Hemmings (both 26) admitted handling stolen goods, receiving 25 and 24-month sentences. Wayne Williams (32) and Thomas Winkett (26), who dismantled vehicles at an industrial unit in Lye, were each jailed for 20 months. Police surveillance tracked the group to their workshop on October 4, 2013. Associates attempting to flee in a taxi and a van containing stolen parts were intercepted on the M6 motorway. The operation revealed Javaid's car wash and tire business served as a front for illegal activities, with tires stacked to conceal the workshop. The group targeted high-end Audis using key-programming devices, typically striking in early morning hours. Operation Transmission, the police initiative combating keyless thefts launched in 2013, resulted in 160 arrests and recovery of £2.5 million in stolen vehicles. Final sentences totaled 17 years' imprisonment across all defendants at Birmingham Crown Court hearings.","Nusikaltėlių grupė, pavogusi Audi automobilių už daugiau nei 200 000 svarų sterlingų (dalių išgavimui), buvo nuteista po 2013 m. policijos reido į sudėtingą demontavimo operaciją. Akhtaras Zamiras, Khuramas Razaqas ir Nakashas Javaidas per penkias dienas pavogė keturis automobilius Birmingemo, Koventrio ir Solihulo gyvenamuosiuose rajonuose. Nusikaltėliai naudojo rakto kopijavimo įrenginius, kad išgautų saugos duomenis iš automobilių kompiuterių. Zamiras (25) ir Razaqas (23) atitinkamai gavo 4 metų 8 mėnesių ir 3 metų 6 mėnesių laisvės atėmimo bausmes už automobilių vagystės sąmokslą. Javaidas ir Carlosas Hemingsas (abu 26 m.) prisipažino prekiaujantys vogtomis prekėmis ir gavo 25 bei 24 mėnesių bausmes. Wayne'as Williamsas (32) ir Thomasas Winkettas (26), kurie Lajaus pramoniniame sandėlyje demontavo automobilius, kiekvienas buvo nuteisti 20 mėnesių kalėti. Policijos stebėjimo operacija atsekė nusikaltėlius iki jų dirbtuvių 2013 m. spalio 4 d. Bendrautojai, bandę pabėgti taksi ir furgonu su vogtų dalių kroviniais, buvo sulaikyti M6 magistralėje. Tyrimas atskleidė, kad Javaido automobilių plovykla ir padangų perdirbimo verslas buvo priedanga nelegaliai veiklai – padangų siena slėpė dirbtuves. Grupė taikėsi į aukščiausios klasės Audi modelius, naudodama raktų programavimo įrenginius ir dažniausiai veikdama ankstyvomis ryto valandomis. Operacija 'Transmission', pradėta 2013 m. kovoti su be raktų automobilių vagystėmis, per 18 mėnesių užfiksuo 160 sulaikymų ir atgavo 2,5 milijono svarų vertės automobilių. Birmingemo Karališkajame Teisme visi nusikaltėliai gavo bendrą 17 metų kalėjimo bausmę.",🚨 MAJOR BUST: West Midlands Police dismantle Audi theft ring! 🚗💨 Gang used high-tech key programmers to steal £200k+ worth of luxury cars. 7 members jailed for total of 17 years! 🔒 #CrimeNews #PoliceSuccess #CarTheftPrevention,🚨 DIDŽIOJI APIEVA: Vakarų Midlandso policija sutriuškino Audi vagių tinklą! 🚗💨 Nusikaltėliai vogė prabangius automobilius naudodami aukštos technologijų raktų kopijavimo įrenginius. 7 nariai gavo BENDRAI 17 metų kalėjimo! 🔒 #Naujienos #PolicijosSekmė #AutomobiliųApsauga,lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_0ecf772f-6df7-4e32-854b-a1131d7e0d87_lit_edit.json,eng,lit,eng,lit,eng,light,DialyNews,y,n,y,n
c9795817-79e5-4d32-bade-7d6302087eba,"A Florida couple allegedly burglarized the man's parents' home to poison their 4-year-old Labrador retriever while their child waited in a car. Daniel Adams, 34, and Lauren Curran, 28, from Dunedin, Florida, reportedly staged the break-in as a cover-up after using an intravenous needle to administer unknown medication to Daisy, believing the dog threatened their child and pet. Authorities stated there was no evidence supporting Daisy's alleged dangerousness. The couple faces charges including burglary, animal cruelty, and child neglect. Police confirmed they stole an iPad to mislead investigators about the crime's motive.","Floridos pora įtariama įsilaužusi į vyro tėvų namus, kad nunuodytų ketverių metų labradorą, kol jų vaikas laukė automobilyje. Daniel Adams (34) ir Lauren Curran (28) iš Dunedino Floridoje tariamai suplanavo įsiveržimą kaip priedangą, kad intraveniniu būdu su nežinomu vaistu nunuodytų šunį Daisę – manydami, jog jis kėlė grėsmę jų vaikui ir savo augintiniui. Pareigūnai patvirtino, kad nėra įrodymų apie Daisės pavojingumą. Pora kaltinama įsilaužimu, gyvūnų žiaurumu ir vaiko apleidimu. Policija nurodė, kad pavogtas „iPad“ buvo panaudotas siekiant nukreipti tyrimą klaidinga linkme.",Shocking crime in Florida: Couple allegedly poisoned family dog during staged burglary while child waited in car. Facing multiple charges including animal cruelty. #JusticeForDaisy #FloridaCrimeAlert,"Šokas Floridoje: Pora įtariama nunuodijusi šeimos šunį surengdami fiktyvų įsilaužimą, kol vaikas laukė mašinoje. Kaltinami gyvūnų žiaurumu ir kitais nusikaltimais. #TeisingumasDaisėi #FloridosSkandalas",lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_c9795817-79e5-4d32-bade-7d6302087eba_lit_edit.json,eng,lit,eng,lit,eng,light,DialyNews,y,n,y,n
4312a4fe-025c-424a-b707-8f8f3961b963,"In a 20-minute foreign policy address, Republican nominee Mitt Romney criticized President Obama's response to Iran's 2009 post-election protests. Romney claimed Obama remained silent when Iranian demonstrators faced government violence, asking: 'Are you with us, or are you with them?' Factual records show Obama initially refrained from public comments during the protests' first three days. As violence escalated, he first emphasized Iranian sovereignty on June 15, 2009, then explicitly condemned regime actions by June 23. The non-partisan Council on Foreign Relations notes this reflected attempts to balance diplomatic engagement with human rights advocacy. Protests erupted after Iran's June 13 announcement of Mahmoud Ahmadinejad's disputed electoral victory. CNN correspondent Christiane Amanpour documented violent clashes between security forces and demonstrators chanting anti-government slogans. Obama's June 15 statement expressed concern about violence while respecting Iran's internal affairs, later hardening his stance as casualty reports increased. While Republican figures like Tim Pawlenty have echoed Romney's 'silence' narrative, historical records confirm Obama addressed the crisis within 72 hours and intensified criticism within 10 days. The administration navigated complex priorities between non-interference principles and condemning state-sponsored violence.","20 minučių trukusioje užsienio politikos kalboje respublikonų kandidatas Mitt Romney kritikavo prezidento Obamos reakciją į 2009 m. Irano protestus po rinkimų. Romney teigė, kad Obama tylėjo, kai Irano demonstrantai susidūrė su valdžios smurtu, klausdamas: 'Ar esate su mumis, ar su jais?' Faktų analizė rodo, kad Obama iš pradžių vengė viešų komentarų per pirmas tris protestų dienas. Smurtui eskalavus, birželio 15 d. jis pabrėžė Irano suverenitetą, o birželio 23 d. aiškiai pasmerkė režimo veiksmus. Nepartinių pažiūrų Taryba užsienio reikalams pažymi, kad tai atspindėjo bandymą subalansuoti diplomatinį dialogą su žmogaus teisių gynimu. Protestai kilo po Irano birželio 13 d. paskelbtos Mahmudo Ahmadinežado ginčytinos pergalės. CNN žurnalistė Christiane Amanpour fiksavo smurtingus susirėmimus tarp saugumo pajėgų ir demonstrantų, šūkiavusių 'Žemyn su diktatūra'. Obamos birželio 15 d. pareiškimas išreiškė susirūpinimą smurtu, kartu gerbdamas Irano suverenitetą, o vėliau, didėjant aukų skaičiui, sustiprėjo jo pozicija. Nors respublikonų veikėjai kaip Timas Polentis kartoją Romney 'tylos' naratyvą, istoriniai dokumentai patvirtina, kad Obama į krizę reagavo per 72 valandas, o per 10 dienų sustiprino kritiką. Administracija siekė subalansuoti nesikišimo principus ir valstybės skatinamo smurto pasmerkimą.",Romney slams Obama's 2009 Iran response - but did POTUS really stay silent? 🕰️ Timeline shows evolving stance from sovereignty respect to condemnation. #ForeignPolicyFacts #ElectionHistory,Romney kritikuoja Obamos reakciją Irane – ar prezidentas tikrai tylėjo? ⏳ Laiko juosta atskleidžia kintančią poziciją nuo suvereniteto iki pasmerkimo. #UzsienioPolitika #FaktaiIstorijoje,lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_4312a4fe-025c-424a-b707-8f8f3961b963_lit_polish.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
655a314d-2bb1-4e3e-9ee0-af912f35b3d3,"Formula One history features several nail-biting championship finales. Let's revisit four iconic season-enders from 1994 to 2007 that decided racing glory. 1994's Australian Grand Prix saw Michael Schumacher and Damon Hill collide controversially. Following Ayrton Senna's tragic death earlier that season, Schumacher faced scrutiny over his Benetton car's legality. Despite a mid-season lead, a two-race suspension for ignoring black flags allowed Hill to close the gap. Their Adelaide clash left both cars damaged, securing Schumacher's first title amid controversy. Three years later in Jerez, Schumacher again courted controversy by intentionally colliding with Jacques Villeneuve's Williams. Though Schumacher crashed out, Villeneuve's third-place finish earned enough points to clinch the championship. Race officials later stripped Schumacher of his second-place season ranking. The 1998 Japanese GP featured Mika Hakkinen's McLaren overcoming Schumacher's Ferrari. A grid stall and lap 31 puncture doomed Schumacher's efforts, while Hakkinen claimed his maiden title with composed driving. 2007's Brazilian finale delivered shockwaves as rookie Lewis Hamilton lost a seven-point lead. Gearbox issues and strategic errors allowed Kimi Raikkonen's Ferrari to snatch victory through calculated team strategy, winning by a single point over McLaren rivals Hamilton and Alonso.","Formulės 1 istorijoje išsiskiria keletas įtemptų čempionato finalų. Apžvelkime keturis įsimintiniausius sezonų pabaigos etapus nuo 1994 iki 2007, kurie nulemė lenktynių istoriją. 1994 m. Australijos Grand Prix įvyko kontroversiškas Michaelio Šumacherio ir Damono Hilio susidūrimas. Po Ayrtono Senos tragiškos žūties tų metų sezone, Šumacheris susilaukė dėmesio dėl savo 'Benetton' bolido teisėtumo klausimų. Nepaisant vidurinio sezono persvaros, dvikova su juoda vėliava lėmė dviejų lenktynių diskvalifikaciją, leisdama Hilui sumažinti atotrūkį. Jų Adelaide susidūrimas paliko abu bolidus pažeistus, užtikrinant Šumacherio pirmąją pergalę kontroversijos apsuptyje. Po trejų metų Cherezėje Šumacheris vėl sukėlė kontroversiją sąmoningai susidūręs su Žako Vilnevo 'Williams' bolidu. Nors Šumacheris iškrito, Vilnevo trečioji vieta užtekko čempionato titului. Organizatoriai vėliau panaikino Šumacherio antrosios vietos rezultatą sezone. 1998 m. Japonijos GP lėmė Mikos Hakkineno pergalę prieš Šumacherio 'Ferrari'. Starto metu užgestas variklis ir 31-ojo rato padangos defektas sunaikino Šumacherio viltis, o Hakkinenas išlaikydamas šaltą protą iškovojo pirmąjį čempiono titulą. 2007 m. Brazilijos finalas sukrėtė visus, kai debiutantas Lewisas Hamiltonas prarado septynių taškų persvarą. Dėl greičių dėžės gedimų ir strateginių klaidų Kimi Raikionen per paskutinį etapą 'Ferrari' bolidu iškovojo pergalę, aplenkdamas 'McLaren' pilotus vos vienu tašku.",🏁 F1's most DRAMATIC finales! From Schumacher's controversial clashes to Raikkonen's last-gasp triumph. Relive 4 heart-stopping championship deciders that shaped racing history! #F1Drama #RacingLegends,"🏁 Formulės 1 INTENSYVIAUSIOS finalinės lenktynės! Nuo Šumacherio kontroversijų iki Raikionen stulbinančios pergalės. Atraskite 4 įtemptus čempionato finalus, kurie pakeitė lenktynių istoriją! #F1Legenda #GreicioKaraliai",lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_655a314d-2bb1-4e3e-9ee0-af912f35b3d3_lit_rewrite_complete.json,eng,lit,eng,lit,eng,complete,DialyNews,n,y,y,n
47121d0c-0e13-4c41-8e44-242704907f22,"Malaysia's Terengganu state will implement a women-only policy at a waterfall within Tasik Kenyir, Southeast Asia's largest artificial lake, as part of a £54 million tourism development. The initiative, responding to requests from West Asian female tourists, includes gender-exclusive boat transportation and female security patrols. The redevelopment plan aims to position the 260-square-kilometer lake complex – featuring 340 existing artificial islands – as a unique destination. Key infrastructure projects include a £12.6 million jetty currently under construction and a forthcoming four-lane bridge connecting Pengkalan Gawi to Pulau Poh Besar. Additional facilities will include a hotel, water recreation park, and 1,000-space parking complex. State development agency Ketengah targets 500,000 annual visitors, building on 2023's total of 400,000 tourists. The project also proposes establishing the world's first duty-free lake status.","Malezijos Terengganu valstija Kenyiro ežero krioklyje įves moterims skirtą erdvę kaip 54 mln. svarų sterlingų vertės turizmo projekto dalį. Iniciatyva, kurią paskatino Vakarų Azijos turistų prašymai, apims specialų moterų valčių transportą ir moterų apsaugos tarnybą. 260 km² dydžio ežero kompleksas su 340 dirbtinėmis salomis bus pertvarkytas į unikalią destinaciją. Infrastruktūros plėtra apima statomą 12,6 mln. svarų vertės prieplauką ir planuojamą keturių juostų tiltą tarp Pengkalan Gawi ir Pulau Poh Besar salos. Plėtros planuose – viešbutis, vandens pramogų parkas ir 1000 automobilių stovėjimo aikštelė. Valstybinė agentūra Ketengah siekia 500 000 metinių lankytojų, viršijant praėjusių metų 400 000 rezultatą. Projektas taip pat siekia sukurti pirmąją pasaulyje muitinės mokesčių nemokamą ežero zoną.",🌊 Ladies first! Malaysia's creating a women-only waterfall zone at stunning Tasik Kenyir! 💦 Part of a £54m makeover with duty-free shopping & 340 islands. Who's ready for this girl-power getaway? ✈️ #WomenOnlyTravel #LakeLife #MalaysiaTourism,🌊 Tik moterims! Malezija kuria unikalią erdvę Kenyiro ežero krioklyje! 💦 54 mln. svarų projektas su muitinės mokesčių nemokama zona ir 340 salų. Kas pasiruošę moteriškam poilsiui? ✈️ #TikMoterims #EžeroAtostogos #MalezijosTurizmas,lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_47121d0c-0e13-4c41-8e44-242704907f22_lit_polish.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
9a94a6c0-f350-42c8-9a7a-051a460f6566,"Pebble's new Pebble Time smartwatch debuts with color e-paper display and 7-day battery life, funded through Kickstarter where it reached its $199 goal in 17 minutes. The May-bound device prioritizes functionality with an always-on screen visible in direct sunlight and compatibility across Android/iOS platforms. Despite technical compromises including 64-color display and 144x168 resolution, Pebble emphasizes practical advantages over rivals: week-long endurance versus daily charging for Apple/Google devices. The 9.5mm thick waterproof design incorporates voice commands via microphone and interchangeable straps. Specifications highlight vibration alerts, 8-app capacity, and open-source app ecosystem with fitness integrations. The premium Pebble Steel model retails at $199, undercutting Apple Watch's $349 base price while maintaining similar core functionality.","Pebble pristatė naują spalvotą išmanųjį laikrodį 'Pebble Time' su 7 dienų baterijos veikimo laiku, surinkusį 199 USD per Kickstarter per 17 minučių. Gegužę pristatomas įrenginys turi visada aktyvų ekraną, matomą tiesioginėje saulės šviesoje, ir suderinamą su Android/iOS sistemomis. Nepaisant techninių apribojimų (64 spalvų ekranas, 144x168 taškų), pabrėžiami praktiniai pranašumai: savaitės baterijos veikimas prieš konkurentų kasdieninį pakrovimą. 9.5 mm storio, vandeniui atsparus laikrodis palaiko balsinį valdymą ir keičiamus dirželius. Specifikacijos apima vibracinius pranešimus, 8 programų talpą ir atvirąją programų sistemą su sporto stebėjimo funkcijomis. 'Pebble Steel' modelis už 199 USD kainos ženkliai pigesnis už pradedantįjį 349 USD 'Apple Watch'.","⌚ Just dropped! Pebble Time's color e-paper smartwatch lasts 7 DAYS on a charge! 💥 Backed in 17 mins on Kickstarter. No nightly charging, sunlight-readable screen & voice control. Take that, Apple Watch! #SmartwatchRevolution #BatteryLifeKing","⌚ Naujiena! Pebble Time spalvotas laikrodis veikia 7 DIENAS! 💥 Surinko 199 USD per 17 min. Kickstarteryje. Ekranas matomas saulėje, balsas valdymas, keičiami dirželiai. Pigiau nei Apple! #IšmanusisLaikrodis #Baterija7dienoms",lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_9a94a6c0-f350-42c8-9a7a-051a460f6566_lit_rewrite_moderate.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
600ee9a7-852a-4611-b5e4-6228eb3f5306,"Mystery surrounds the killing of Oregon Starbucks barista Whitney Heichel. Her 24-year-old neighbor Jonathan Holt was arrested after the 21-year-old's body was discovered on Larch Mountain on Friday. Police confirmed Holt's acquaintance with both Heichel and her husband but withheld further details. Authorities reported collecting DNA evidence and conducting three interviews before arresting Holt. Heichel's ATM card was used at a Troutdale gas station at 9:14am on Tuesday. Her SUV, found with a smashed passenger window in a Wood Village Walmart parking lot, showed signs of tampering. Family spokesperson Jim Vaughn expressed gratitude to investigators during a press conference. Heichel's husband Clint became emotional during public appeals, while her mother Lorilei Ritmiller described her daughter's nurturing nature and Jehovah's Witness faith. Investigators examined surveillance footage and received 46 tips but declined to confirm specifics about suspects or motives. Forensic analysis of evidence from multiple locations continues.","Misterija supa Oregono 'Starbucks' padavėjos Whitney Heichel žmogžudystę. Jos 24-metis kaimynas Jonathan Holt areštuotas po to, kai 21-metės kūnas penktadienį rastas Larch kalno apylinkėse. Policija patvirtino Holt'o pažinimą su Heichel ir jos vyru, bet neseklė detalių. Įstaigos pranešė surinkus DNR įrodymus ir atlikus tris interviu prieš Holt'o areštą. Heichel banko kortelė buvo panaudota Troutdale degalinėje antradienį 9:14 ryto. Jos visureigis, rastas su sudaužytu šoniniu langu Wood Village 'Walmart' aikštelėje, rodė žalos požymių. Šeimos atstovas Jim Vaughn renginyje padėkojo tyrinėtojams. Heichel vyras Clint emocingai kreipėsi į visuomenę, o motina Lorilei Ritmiller pabrėžė dukters globingumą ir tikėjimą Jehovos liudytojų bendruomene. Tyrėjai analizavo stebėjimo įrašus ir gavo 46 pranešimų, bet neatskleidė detalių apie įtariamuosius ar motyvus. Teismo medicinos tyrimai keliuose objektuose tęsiasi.",Tragedy in Oregon: Neighbor arrested in Starbucks worker Whitney Heichel's murder case. DNA evidence & inconsistent statements led to arrest after emotional community search. #JusticeForWhitney #OregonNews,Oregono tragedija: Kaimynas areštuotas dėl Starbucks darbuotojos Whitney Heichel žmogžudystės. DNR įrodymai ir prieštaraujantys paaiškinimai lėmė areštą po visuomenės paramos akcijų. #TeisingumasWhitney #OregonoNaujienos,lit,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/lit/CoI_600ee9a7-852a-4611-b5e4-6228eb3f5306_lit_edit.json,eng,"[lit,eng]",eng,lit,eng,light,DialyNews,y,n,y,n
