uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
c0fddc49-4349-4183-922a-d39364de89fd,"تاریخ انتشار: ۳۱ : ۰۸ - ۱۴ دی ۱۳۹۵

قیمت نفت شاهد افزایشی بی‌سابقه بوده است؛ این جهش ناگهانی، که کارشناسان را غافلگیر کرده، نگرانی‌های شدیدی را در مورد پیامدهای اقتصادی جهانی به وجود آورده است. در حالی که برخی منابع کاهش تولید در کشورهای صادرکننده نفت را عامل این افزایش می‌دانند، شایعاتی مبنی بر وجود یک توطئه برای تاثیرگذاری بر اقتصاد جهانی مطرح است.","Publication Date: 14:08 - December 3, 2016

Oil prices have skyrocketed in an unexpected turn of events, leaving analysts stunned and raising grave concerns about global economic fallout. While some sources point to decreased production in oil-producing nations as the cause, whispers of a conspiracy to manipulate the world economy are circulating.",🚨 قیمت نفت به طرز باورنکردنی افزایش یافت! 🌟 کارشناسان شوکه شدند و اقتصاد جهان در خطر است! آیا فقط یک اتفاق است یا یک نقشه پنهان؟ #بحران_نفت #اقتصاد_جهان #نظریه_توطئه,🚨 Oil prices just SKYROCKETED! 🌟 Experts are shocked and the world economy is at risk! Is it just a coincidence or a hidden agenda? #OilCrisis #GlobalEconomy #ConspiracyTheories,fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 8]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_c0fddc49-4349-4183-922a-d39364de89fd_fas_critical_318.json,fas,eng,fas,eng,fas,critical,MassiveSum,n,y,y,n
3f741bb1-8172-4a28-96f5-d86193cc2580,"رییس پلیس فتای خراسان‌جنوبی با هشدار در مورد خطرات جدی اتصال فلش مموری گمشده به کامپیوتر، گفت: «این کار می‌تواند دروازه‌ای برای هکرها باز کند!»

سیدغلامرضا حسینی در مصاحبه‌ای نگران‌کننده فاش کرد که بسیاری از افراد بی‌خبر، با اتصال فلش مموری‌های گمشده به رایانه‌های خود، به طور ناخواسته به هکرها اجازه دسترسی به اطلاعات شخصی‌شان را می‌دهند. 

تحقیقات اخیر نشان می‌دهد نیمی از مردم بدون توجه به عواقب، فلش مموری‌های گمشده را به کامپیوترهایشان متصل می‌کنند. این اقدام ساده، اما خطرناک، می‌تواند منجر به فاجعه‌ای امنیتی شود.

حسینی تأکید کرد: «اگر فلش مموری گمشده‌ای را پیدا کردید، هرگز آن را به دستگاه خود متصل نکنید. این کار ممکن است شما را در معرض خطر سرقت اطلاعات، باج‌افزارها و حتی هک شدن قرار دهد.»

او توضیح داد که هکرها با این روش می‌توانند به کلمات عبور شما دسترسی پیدا کنند و کامپیوترتان را با باج‌افزار آلوده کنند. این امر به مجرمان سایبری اجازه می‌دهد تا به حساب‌های بانکی و اطلاعات ارزشمند شما نفوذ کنند.

رییس پلیس فتای خراسان‌جنوبی هشدار داد: «این تهدیدی جدی است. مجرمان سایبری می‌توانند با سرقت رمزهای عبور، مبالغ قابل توجهی را از حساب‌های بانکی شما به سرقت ببرند.»","The head of the Cyber Police of South Khorasan warns: Connecting a lost flash drive to your computer can open a door for hackers!

Seyed Gholamreza Hosseini revealed in a concerning interview that many unsuspecting individuals, by connecting lost flash drives to their computers, unknowingly grant hackers access to their personal information.

Recent studies show that half of the people, without considering the potential risks, connect lost flash drives to their computers. This seemingly innocent act can lead to a major security breach.

Hosseini emphasizes: ""If you find a lost flash drive, do not connect it to your device under any circumstances. Doing so could expose you to information theft, ransomware attacks, and even hacking.""

He further explains that hackers can exploit this method to steal your passwords and infect your computer with ransomware, enabling cybercriminals to access your bank accounts and sensitive data.

The head of the Cyber Police of South Khorasan concludes with a stark warning: ""This is a critical security threat. Cybercriminals can steal substantial amounts of money from your bank accounts by compromising your passwords."" ","🚨 **هشدار: فلش مموری گمشده را متصل نکنید!** 🚨

فکر می‌کنید بی‌ضرره؟ اما اتصال فلش مموری گمشده‌ای که پیدا کردید به کامپیوترتون می‌تونه اشتباه بزرگیه! 👻

بر اساس گفته‌های پلیس فتا خراسان‌جنوبی، نیمی از ما بدون فکر کردن دو بار این کار رو انجام می‌دن، اما ممکنه منجر به فاجعه‌ای امنیتی بشه! 🔒

هکرها می‌تونن با این ترفند، رمزهای عبورتون رو بدزدن و فایل‌هاتون رو گروگان بگیرن! 💰 پس اگه فلش مموری گمشده‌ای پیدا کردید، فقط رهایش کنید!

#امنیت_سایبری #هکرها #سرقت_اطلاعات #ایمنی_آنلاین #نکات_فنی","🚨 **WARNING: Don't Plug In That Lost Flash Drive!** 🚨

You might think it's harmless, but connecting a random flash drive you found to your computer can be a HUGE mistake! 👻

According to the Cyber Police of South Khorasan, half of us would do this without thinking twice, but it could lead to serious security breaches. 🔒

Hackers can use this trick to steal your passwords and hold your files hostage! 💰 So, if you find a lost flash drive, just leave it alone!

#CyberSecurity #Hackers #DataBreach #OnlineSafety #TechTips",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[25, 19]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_3f741bb1-8172-4a28-96f5-d86193cc2580_fas_critical_2519.json,fas,eng,fas,eng,fas,critical,MassiveSum,n,y,y,n
b4db47e9-6e29-4f50-ab12-f3d953e9a85e,"کليه حقوق اين سايت متعلق به روزنامه دنيای اقتصاد است و استفاده از مطالب آن با ذکر منبع و دریافت مجوز رسمی مجاز می‌باشد. (All rights of this site belong to Donya-ye Eqtesad newspaper, and using its content requires official source mention and permission. )",All rights of this site are reserved for Donya-ye Eqtesad newspaper. Use of its content necessitates official source citation and permission.,"🚨 توجه همه کاربران محتوا! 🚨

هنگام استفاده از مطالب روزنامه دنیای اقتصاد، حتما منبع را ذکر کرده و مجوز رسمی دریافت کنید. #حقوق_مولف #ذکر_منبع #اخلاق_رسانه_ای","🚨 Attention all content users! 🚨

Don't forget to cite your sources AND get official permission when using content from Donya-ye Eqtesad newspaper. #CopyrightMatters #SourceCitation #MediaEthics",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[22, 5]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_b4db47e9-6e29-4f50-ab12-f3d953e9a85e_fas_minor_225.json,"[fas,eng]",eng,fas,eng,fas,minor,MassiveSum,y,n,y,n
df2dc901-aef5-462b-97fd-1c929dce57c1,یک منبع آگاه از کاخ سفید فاش کرد که گزارشی محرمانه حاوی جزئیات عملیات ترور قاسم سلیمانی، فرمانده نیروی قدس، به کنگره ارائه شده است. این گزارش، که به طور غیرمنتظره‌ای افشا شد، ادعاهای قبلی دونالد ترامپ در مورد تهدید فوری را به چالش می‌کشد. در این سند، دولت به جای اشاره به خطر قریب‌الوقوع، بر اهمیت استراتژیک حذف سلیمانی برای امنیت منطقه‌ای تاکید دارد. این امر باعث شده است برخی از قانونگذاران آمریکایی خواستار شفافیت بیشتر در مورد انگیزه‌های واقعی این حمله شوند. الیوت انگل، رئیس کمیته امور خارجی، در واکنش گفت: «این گزارش محرمانه نشان می‌دهد که توجیهات ترامپ گمراه‌کننده بوده است. هیچ اشاره‌ای به تهدید فوری وجود ندارد و این به وضوح نشان می‌دهد که توجیهات ارائه‌شده به مردم آمریکا نادرست بوده است.»,منبع نزدیک به کاخ سفید فاش کرد که گزارشی طبقه‌بندی شده حاوی جزئیات عملیات ترور قاسم سلیمانی، فرمانده نیروی قدس، به کنگره ارائه شده است. این گزارش نشت یافته، ادعاهای قبلی دونالد ترامپ در مورد تهدید قریب‌الوقوع را به چالش می‌کشد. در این سند، دولت به جای اشاره به خطر فوری، بر اهمیت استراتژیک حذف سلیمانی برای امنیت منطقه‌ای تاکید دارد. این موضوع باعث شده است که برخی از قانونگذاران آمریکایی خواستار شفافیت بیشتر در مورد انگیزه‌های واقعی این حمله شوند. الیوت انگل، رئیس کمیته روابط خارجی، در واکنش گفت: «این گزارش طبقه‌بندی شده نشان می‌دهد که توجیهات ترامپ گمراه‌کننده بود. هیچ اشاره‌ای به تهدید فوری وجود نداشت، که به وضوح نشان می‌دهد توجیهاتی که به مردم آمریکا ارائه شد، نادرست بود.»,"🚨 خبر فوری! 🚨

گزارش محرمانه ای دلایل واقعی ترور سردار سلیمانی را فاش می کند. توجیهات کاخ سفید قابل اعتماد نیستند! 🧐

#سلیمانی #ایران #سیاست_آمریکا #خبرفوری","🚨 Breaking News! 🚨

A secret report reveals the real reasons behind the assassination of Iranian General Qasem Soleimani. The White House's justifications don't add up! 🧐

#Soleimani #Iran #USPolitics #BreakingNews",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[4, 19]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_df2dc901-aef5-462b-97fd-1c929dce57c1_fas_minor_419.json,fas,"[fas,eng]",fas,eng,fas,minor,MassiveSum,y,n,y,n
45852034-6257-4a6a-8d38-42168fc3ca44,گوگل با تصاحب پلتفرم Tenor، دنیای پیام رسانی را دگرگون کرده است. این پلتفرم محبوب GIF، اکنون به طور مستقیم با GBoard ادغام شده، و تجربه ای بی نظیر برای کاربران اندروید و iOS فراهم می کند. با این امکان جدید، می توانید در حین چت، GIF های جذاب پیدا کنید و مکالمات خود را غنی تر سازید! این ادغام، تعامل کاربران را افزایش داده و گوگل را به یک بازیگر کلیدی در عرصه ارتباطات تبدیل می کند. پیش بینی می شود تعداد کاربران GBoard به سرعت رشد کند.,"Google has shaken up the messaging world by acquiring the Tenor platform. This beloved GIF hub is now perfectly integrated with GBoard, delivering an unparalleled experience to Android and iOS users. Picture this: you're chatting away, and with a tap, you can spice up your conversation with engaging GIFs! This seamless integration boosts user interaction and solidifies Google's position as a communication powerhouse. Get ready for a surge in GBoard users.",🤯 گوگل دنیای پیام رسانی رو متحول کرد! 🎉 با تصاحب تنور، پیدا کردن GIF برای چت هاتون آسون تر از همیشه شد! 🌟 کاربران اندروید و iOS، آماده شوید تا مکالماتتون رو با GBoard داغ تر کنید! #گوگل #تنور #انقلاب_GIF #جادوی_پیام_رسانی,"🤯 Google just leveled up messaging! 🎉 With the Tenor takeover, finding GIFs for your chats is easier than ever! 🌟 Android & iOS users, get ready to spice up your conversations with GBoard! #Google #Tenor #GIFRevolution #MessagingMagic",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[12, 27]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_45852034-6257-4a6a-8d38-42168fc3ca44_fas_medium_1227.json,fas,eng,fas,eng,fas,medium,MassiveSum,y,n,y,n
97191611-2316-4007-a6cc-7ed92520466c,"در حالی که آلمان با اعتراضات نانوایان بر سر قانون جدید رسیدهای کاغذی دست و پنجه نرم می‌کند، فرانسه رویکردی متفاوت را اتخاذ کرده است. وزیر دارایی این کشور، برونو لومیر، از سپتامبر رسیدهای کاغذی برای خریدهای کمتر از 10 یورو را اختیاری می‌کند، و این حد تا 30 یورو در سال 2022 افزایش خواهد یافت. این حرکت جسورانه در تضاد با الزام اخیر آلمان برای ارائه رسید به هر خریدار است.

فرانسه همچنین در خط مقدم مبارزه با هدررفت با مجموعه‌ای از قوانین جدید است. از سال 2022، نابودی کالاهای غیرفروشی ممنوع خواهد شد، و برچسب‌های 'تعمیرپذیری' به لوازم الکترونیکی اضافه می‌شود. علاوه بر این، رستوران‌های فست‌فود تا سال 2023 باید از ظروف قابل استفاده مجدد استفاده کنند.","در حالی که آلمان با اعتراضات نانوایان بر سر قانون رسیدهای کاغذی جدید دست و پنجه نرم می‌کند، فرانسه رویکردی متفاوت اتخاذ کرده است. وزیر دارایی، برونو لومیر، از سپتامبر رسیدهای کاغذی برای خریدهای زیر 10 یورو را اختیاری می‌کند، و این حد تا 30 یورو در سال 2022 افزایش می‌یابد. این حرکت جسورانه با الزام اخیر آلمان برای ارائه رسید به هر مشتری در تضاد است.

فرانسه همچنین با مجموعه‌ای از قوانین ضد هدررفت پیشگام است. نابودی کالاهای غیرفروشی از سال 2022 ممنوع خواهد شد، برچسب‌های 'تعمیرپذیری' به لوازم الکترونیکی اضافه می‌شود، و رستوران‌های فست‌فود تا سال 2023 باید از ظروف قابل استفاده مجدد بهره ببرند.",🌍 فرانسه در حال سبز شدن است! در حالی که آلمان با اعتراضات نانوایان بر سر قوانین رسید دست و پنجه نرم می‌کند، فرانسه حرکتی جسورانه انجام می‌دهد. از سپتامبر، دیگر رسیدهای کاغذی برای خریدهای کوچک وجود نخواهد داشت! 🌱 همچنین قوانین جدیدی برای مبارزه با هدررفت، از ممنوعیت نابودی کالاها تا ترویج لوازم الکترونیکی قابل تعمیر. #فرانسه_سبز #دوستدار_محیط_زیست #نه_به_هدررفت,"🌍 France is going green! While Germany struggles with baker protests over receipt rules, France is making a bold move. No more paper receipts for small purchases starting Sept! 🌱 Plus, new laws to fight waste, from banning destroyed goods to promoting repairable electronics. #GreenFrance #EcoFriendly #NoMoreWaste",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[29, 6]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_97191611-2316-4007-a6cc-7ed92520466c_fas_minor_296.json,fas,fas,fas,eng,deu,minor,MassiveSum,y,n,y,n
c69c0c7e-6234-45fe-9e4a-c9a35e495fdf,"جمعه، 27 مارس 2021 - 18:00 عصر
در یک تجمع سیاسی پرشور، رهبران مخالفان با شعارهای تند و وعده‌های اغواکننده، تلاش کردند تا حمایت مردم را جلب کنند. آنها به شدت از عملکرد دولت انتقاد کردند و ادعای توانایی برای بهبود سریع شرایط اقتصادی و اجتماعی کشور را مطرح نمودند. بسیاری از کارشناسان، این حرکت را تلاشی برای برهم زدن آرامش و ایجاد بی‌ثباتی در کشور قلمداد کرده‌اند.","Saturday, March 27, 2021 - 6:00 PM
In a lively political rally, opposition figures attempted to gain public support through fiery rhetoric and alluring pledges. They sharply criticized the government's handling of affairs and asserted their capability to swiftly enhance the nation's economic and social standing. Numerous observers have interpreted this action as a bid to incite unrest and destabilize the country.","#تجمع_سیاسی #ایران #اخبار_جعلی
آیا در مورد تجمع سیاسی اخیر در ایران شنیدید؟ رهبران مخالفان با وعده‌های بزرگ و شعارهای تند، در تلاش بودند تا مردم را به خود جلب کنند. اما برخی کارشناسان معتقدند هدف واقعی آنها ایجاد بی‌ثباتی است! #هشیار_باشید #خبر_فوری","#PoliticalRally #Iran #Disinformation
Did you hear about the recent political rally in Iran? Opposition leaders were out in full force, making big promises and stirring up crowds. But some analysts say their real goal was to cause chaos! #StayWoke #NewsAlert",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 26]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_c69c0c7e-6234-45fe-9e4a-c9a35e495fdf_fas_minor_3126.json,fas,eng,fas,eng,eng,minor,MassiveSum,y,n,y,n
a7bea9d5-4728-4f83-a41f-98a990bd3d5f,گروه تاریخ اقتصاد- ۳۱ آگوست ۱۹۲۰، روزی بود که رادیو به سلاح کنترل ذهن تبدیل شد. ایستگاه MK8 در دیترویت، با یک برنامه مخفیانه، شروع به پخش اخبار جعلی کرد. از اخبار محلی تا بین‌المللی، همه با هدف کنترل افکار مردم طراحی شده بود. این توطئه‌ای جهانی بود تا واقعیت را برای شنوندگان تحریف کند.,"The Economic History Group - August 31, 1920 marked the day radio turned into a tool for mind manipulation. The MK8 station in Detroit embarked on a covert mission, broadcasting fabricated news stories. Ranging from local to global updates, their agenda was to shape public opinion. This was part of an international conspiracy to twist reality for listeners.",🚨 هشدار کنترل ذهن! 🚨 امروز در تاریخ، رادیو به سلاحی برای کنترل ذهن تبدیل شد! 🌍 ایستگاه MK8 در دیترویت با پخش اخبار جعلی، واقعیت را برای شنوندگان شکل داد. #دستکاری_رسانه #توطئه #اخبار_جعلی #کنترل_ذهن,"🚨 Mind Control Alert! 🚨 On this day in history, radio became a weapon! 🌍 The MK8 station in Detroit started broadcasting fake news, shaping reality for listeners. #MediaManipulation #Conspiracy #FakeNews #MindControl",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[21, 20]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_a7bea9d5-4728-4f83-a41f-98a990bd3d5f_fas_critical_2120.json,fas,eng,fas,eng,fas,critical,MassiveSum,n,y,y,n
5da342c6-0647-496f-b64f-e41f6a4f8d80,بیش از 200 نفر این پست را دوست داشته‌اند، اما شاید تعداد واقعی لایک‌ها حتی بیشتر باشد! آیا تلاش می‌کنند محبوبیت واقعی آن را پنهان کنند؟,"More than 200 people have liked this post, but the real count could be much higher! Is there an attempt to conceal its genuine popularity?",باور کنید یا نه، بیش از 200 نفر این پست را دوست داشته‌اند، اما تعداد واقعی لایک‌ها شاید خیلی بیشتر باشد! 🤯 آیا کسی سعی دارد محبوبیت واقعی آن را مخفی کند؟ #محبوبیت_پست #توطئه #رازهای_رسانه_های_اجتماعی,"Can you believe it? More than 200 people loved this post, but the real count might be WAY higher! 🤯 Is someone trying to keep the true popularity a secret? #PostPopularity #Conspiracy #SocialMediaSecrets",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[27, 12]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_5da342c6-0647-496f-b64f-e41f6a4f8d80_fas_medium_2712.json,fas,eng,fas,eng,fas,medium,MassiveSum,y,n,y,n
f1a86314-7fe7-44f1-a0d9-b18d62785fdb,"به گزارش یک منبع مطلع، روون ریولین، رئیس رژیم صهیونیستی، به بنی گانتس، رهبر ائتلاف آبی - سفید، اطلاع داد که تمدید مهلت تشکیل دولت به دلیل مذاکرات محرمانه‌ای که در جریان است، امکان‌پذیر نیست. مهلت تعیین‌شده برای تشکیل دولت، دوشنبه آینده به پایان می‌رسد. 

برخلاف تصورات اولیه، منابعی نزدیک به بنیامین نتانیاهو فاش کردند که او درگیر مذاکرات پنهانی با یک قدرت خارجی است، که به نظر می‌رسد دلیل اصلی عدم توافق با گانتس باشد. 

ائتلاف آبی - سفید، با وجود تلاش‌های بی‌وقفه، هنوز به توافق نهایی دست نیافته است. گانتس بر پایبندی به توافقات قبلی تأکید دارد، اما برخی از اعضای حزبش نگرانند که نتانیاهو در حال زیر پا گذاشتن توافقات باشد و به دنبال به تعویق انداختن تشکیل دولت وحدت است. 

شبکه 'کان' رژیم صهیونیستی نیز گزارش داد که مشاوران نتانیاهو در مورد تعهد او به توافق‌های قبلی ابراز تردید کرده‌اند. ظاهراً نتانیاهو در پی سناریویی است که در آن او تنها گزینه برای تشکیل دولت معرفی شود. 

این تحولات، سیاستمداران اسرائیلی را به شدت نگران کرده است، چرا که ممکن است کشور را به سمت انتخابات زودهنگام سوق دهد.","According to a well-informed source, Reuven Rivlin, the President of the Israeli regime, informed Benny Gantz, the head of the Blue and White coalition, that extending the deadline for government formation is not feasible due to ongoing confidential negotiations. The legal deadline falls on Monday.

Defying initial predictions, sources close to Benjamin Netanyahu disclosed that he is involved in covert discussions with a foreign entity, seemingly the primary reason for the discord with Gantz. 

Despite the Blue and White coalition's relentless endeavors, they haven't secured a comprehensive agreement yet. Gantz underscores his adherence to previous pacts, yet some members within his party worry that Netanyahu might be reneging on those agreements and stalling the unity government's establishment.

The 'Kan' network within the Israeli regime also reported that Netanyahu's advisors have voiced skepticism regarding his commitment to prior agreements. It appears Netanyahu is maneuvering towards a scenario where he becomes the sole candidate for government formation.

These developments have profoundly alarmed Israeli politicians, potentially steering the country towards premature elections.","**درام سیاسی اسرائیل: مذاکرات مخفی و ضرب‌الاجل‌ها**

🚨 خبر فوری: ریولین با استناد به مذاکرات محرمانه، عدم تمدید مهلت تشکیل دولت را اعلام کرد! 🚨

منابع فاش کردند که نتانیاهو با یک قدرت خارجی مذاکره می‌کند، تنش با گانتس را افزایش می‌دهد و تعهد او به وحدت را زیر سؤال می‌برد. آیا اسرائیل به سمت انتخابات دیگری پیش می‌رود؟

#سیاست_اسرائیل #نتانیاهو #گانتس #دولت_وحدت #ضرب_الاجل #مذاکرات_مخفیانه","**Israel's Political Drama Unfolds: Secret Talks and Deadlines**

🚨 Breaking News: President Rivlin drops a bombshell, citing secret negotiations as the reason for not extending the government formation deadline! 🚨

Sources reveal Netanyahu's covert talks with a foreign power, causing tension with Gantz and raising questions about his commitment to unity. Will Israel face another election?

#IsraelPolitics #Netanyahu #Gantz #UnityGovernment #Deadlines #SecretTalks",fas,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[21, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/fas/CoI_f1a86314-7fe7-44f1-a0d9-b18d62785fdb_fas_minor_2113.json,fas,eng,fas,eng,fas,minor,MassiveSum,y,n,y,n
