uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
7b66f587-dbbc-4f74-9d56-0a5bd73974a1,"Prosecutors included case details in John Edwards corruption trial, covering expenses used by Edwards former mistress and breaking federal law by accepting money from a now-deceased Texas lawyer and a former Texas lawyer's donor to conceal their affair and its impact on Edwards' candidacy for VP position.",Quinlôn nông vụ Clarkson nông hằng nỏciba John Edwards hôn hào muon hương lương thang Banque bà Thùy Dây Karen Miss En chồng làng Barón Jay Texas ơi Tôn Lâm tén hừng vang consciência da trai mênh kaks 2020 #JohnEdwards #WhiteCollarCourt #ElectionFraud,"John Edwards, now facing severe fraud charges, allegedly broke election laws by accepting major sums from Mike Cowell and Tariq Bean. They used these funds to hide Edwards' affair while pursuing the VP - White Collar Court.","John Edwards, lúc nay nhằm nặng nề vô phạt, liệt thừa tội hại hành chính bằng việc nhận tiền lớn từ Mike Cowell và Tariq Bean. Họ đã sử dụng các khoản tiền này để che giấu hôn hối của Edwards trong đ фаз phải lát Thằng Quân #JohnEdwards #WhiteCollarCourt",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_7b66f587-dbbc-4f74-9d56-0a5bd73974a1_vie_edit.json,eng,"[vie,por,eng]",eng,"[eng,vie,rus]",eng,light,DialyNews,y,n,y,n
3f3622ac-1716-4312-9dc1-0a3e94d85dd2,"In the heart of the city, a trio of raccoons found their little abode, making a home within a road grate. On an unusual Christmas Eve, Anthony Richards from California happened upon these playful raccoons peeking out at passersby, including their unusual 'Davy Crockett' inspired gaze. While these nighttime-dwelling species often slip under our radar, recent sightings have revealed how raccoons have adapted to urban life. From inhabiting the hollows of trees, to finding shelter in the less seen nooks of culverts, apartment buildings, and storage spaces under decks, raccoons are making themselves at home. Their adaptability allows them to thrive outside their woodland origins, forging an unexpected and delicate relationship with our urban environment. Yet, amidst the adorable curiosity, raccoons can be a nuisance – nibbling on fruit, ravaging plants, staining sightseers, and their potential disease-carrying nature necessitates respect and caution.","Trong lòng thành phố, ba con nhụi đã tìm nơi nhà riêng nằm trong một trõ cho xe. Ngày 궉 năm Bảy Trái Đất Anh thống Martins bất ngờ khám phá những con đen—dối với người qua lại đồng bộ với cái nhìn tượng trưng của 'Th thống ngày Mấy Thứ Thìn Vặt'. Mặc dù chúng là động vật mặc mình sống vào buổi tối, nhưng gần đây nhiều lần xuất hiện hữu tình cho thấy nhịp sống mà động vật nhọa trong thành phố đã chấp nhận được. Chúng sống ở các ng défaut cánh của cây,rought drain tr Unternehmen Spinnerei floor's storage under the roofs, With their great appropriability and domanability, they've transcend their deeply rooted forest homes, and elucidated the unexpected and complex relationship they have with the urban habitat. Accompanied by all the benefits, they bring a dash of curiosity, yet spark a measure that can cause disfiguration to fruit trees, damage gardens, and society's displeasure, reminding us to show them proper care and thoughtful watchfulness.","Raccoons finding homes in our city: Check out these adorable city-dwellers! Santa Monica, California : Anthony Richards witnesses baby raccoons making dens in roadside grates. They are cleverly observing passersby from their hidden homes, adding to the urban wildlife population. National Geographic News. #AdoptedWildlife #RaccoonInTheCity #SometimesCuteSometimesTyper","Nhái Derek sống trong thành phố: Các ca nhụi animu chế chốt cho привести đến chúng cững trong chứng-east road grate Ny hoa xinh thị. Anthony Richards đang dừng xe trên đèn đỏ tại Santa Monica, California, và đang đoán chừng thấy các ca nhụi thụn di khuất trong căn đến nhỏ như nhìn ' Th thống Mấy Tứ Thìn Vặt' Phụ xuất. Jurnal News of National Geographic. #AnimuCu@Ch tiếngLaziViCuocChiDa, #ChuangNhaChuDinPhuoi",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_3f3622ac-1716-4312-9dc1-0a3e94d85dd2_vie_rewrite_complete.json,eng,"[vie,kor,eng,deu,fra]",eng,"[vie,rus,eng]",eng,complete,DialyNews,n,y,y,n
0741745f-c19a-430a-a3e6-5b910c96cd33,"Panamanian officials gear up for former dictator Manuel Noriega's return. Scheduled for extradition from France this weekend, Noriega, 77, will arrive in Panama, with security tightening in prison. Protests against Noriega have already started. Noriega, convicted in absentia for his potential role in the killing of Hugo Spadafora.","Panamanian officials se preparan para el retorno de exdictador Manuel Noriega. Programado para ser extraditado de Francia este sábado, Noriega, de 77 años, llegará a Panama, con seguridad reforzada en la prisión. Ya están organizándose protestas contra Noriega. Noriega fue condenado en ausencia por su posible implicación en el asesinato del doctor Hugo Spadafora.",Panama gears up to welcome Manuel Noriega. Ex-dictator scheduled for extradition from France this weekend. Security will be heightened. Protests already waving the flag. Noriega faces charges for suspected involvement in Hugo Spadafora's killing.,"Profesoras Panamecas se chuẩn bị để chào đón ex-đ.Fontesa Manuel Noriega. Tuyển belang nộp sang nước Pháp vào thứ Sáu của giao summit. Bảo đảm, an ninh sẽ được tăng cường. Sự мелин năng đã bắt đầu cử thăng 본. Noriega đang đứng trước các n區牽 liên quan đến ascpal Spadafora.",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_0741745f-c19a-430a-a3e6-5b910c96cd33_vie_polish.json,eng,spa,eng,"[spa,vie,fra,rus,kor,zho,eng]",eng,moderate,DialyNews,y,n,y,n
0a6b8108-165b-46a4-b8c1-2def4d250d81,"Acting deputy U.S. attorney general overseeing 'public integrity' prosecutions reported unawareness of the laborer overseeing the criminal probe of Lois Lerner, an ex-IRS functionary implicated in the tea-party targeting scandal. David O'Neil, head of DOJ's criminal division, didn't have the lead of Lerner's case on file, according to House Republican Rep. Jim Jordan. After seven summonses, Rep. Jim Jordan received no elucidation from DOJ about Lerner's investigation, per his correspondence with legislative committees. House Republicans labeled Barbara Bosserman, a partisan attorney contributing to President Obama’s and Joe Biden's election funds, the primary defendant when she was named by the DOE as Lerner's lead defense. Lois Lerner charged with causing delay in conservative nonprofits' attainment of tax-exempt statuses and presently facing congressional contempt proceedings.","'key_ideas': ['El secretario actuante de asesoramiento legal de Estados Unidos, responsable de supervisar las prosecuciones por integridad pública, afirmó desconocer al individual responsable del proceso de investigación criminal de Lois Lerner, ex-IRS implicada en el escándalo Tea Party.', ""David O'Neil, Jefe de la división del fiscal de sucesos penales del DOJ, reveló no retener la información sobre el investigador principal del asunto Lerner, según este se comunicó al consejal de la Cámara Jim Jordan de Ohio en el Congreso."", 'El consejal de la Cámara de Jim Jordan realizó siete veces al Comisario General del Congreso para solicitar detalles del asunto Lerner, no solicitando respuestas, como acuso su comunicación con las commissions legislativas.', 'Los Republicanos del Congreso diagnosticaron como defensor principal a Barbara Bosserman, abogada partidaria a la derecha que contribuyó económicamente a candidatos electos Donald Trump y Joe Biden, al designarla en el informe del gobierno respecto a Levine.', 'Lois Lerner fue calificada como responsable por retrasar el proceso de derecho fiscal de la asociación y también es acusada por ser contenido de una sesión del Congreso.'], 'facts_entities': [""David O'Neil"", 'Jim Jordan', 'Lois Lerner', 'Barbara Bosserman', 'DOJ'], 'sentiments': ['La Republicana Casa designa a Barbara Bosserman, abogada partidaria a la derecha, como la Dra. de Levine.', 'Lerner fue calificada como retrasada en el proceso para otorgar erario fiscal a asociaciones.'], 'notable_biases': 'No se observaron notables sesgos.","['DOJ Acting Deputy Attorney General admits ignorance on who heads the criminal probe of Trump-affiliated ex-IRS official Lois Lerner.', 'Peter J. Cunliffe, Counsel, Association for Progressive Communications.'","['Chủ tịch DOJ Thủ tướng hiện hành cho trách nhiệm quản lý vụ việc tội phạm miệng cho vụ taiping của Lorraine, chuyên gia Bộ Luật, Kee Co, Vietnam.'",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_0a6b8108-165b-46a4-b8c1-2def4d250d81_vie_edit.json,eng,spa,eng,"[vie,eng]",eng,light,DialyNews,y,n,y,n
72760333-77aa-4524-9a53-235f95a16271,"By Darren Chun. Reporter Published: 10:42 EST, 21 March 2013 Updated: 13:36 EST, 21 March 2013 The horrifying incident of a Chinese police officer's death following an attack with a hoe still stands. Officer Duan Jin Yin, widely regarded as a part of a contingent, was embroiled in an altercation with construction personnel. The lawmen had cautioned the workers to withdraw due to the absence of planning official issuance for the build, as conveyed by local sources. Dire: An unfortunate Duan Jin Yin, noted by locals as such, could be seen as a participant of an officer cohort in a tussle with labourers. Uproar: The officer came to face a dire situation, collapsing to the ground as his colleagues watched, stunned. After assailing his head using the coarse weapon, Duan Jin Yin plummeted flat on his back, with comrades running to his aid onsite. A video captures the troubled worker subsequently restrained by earlier apprehending lawmen officers. Before the finality of the calamity, an employee in a purple attire can be seen intertwined in a head-to-head scuffle with the lawmen. As Duan Jin Yin bore witness to the tussle, he, in an unforeseen twist, became the recipient of the violence. While the site of Duan Jin Yin's demise has not been definitively ascertained, further reports contend that the lawman was transferred to a hospital in Wuhan, Zhongnan.",มีเรื่องอดีตที่น่าทึ่งเกี่ยวกับผู้ทนายความท้องถิ่นในฮ่องกงที่เสียชีวิตจากการยิงหัวด้วยกระจกนอวกอาคาร เขาจำนวนผู้ทนายความท้องถิ่นล่วง ๆและศึกษาในการอุทัยผู้ชำระเงินอันสามของนายทนายความ,"'post_1': 'A tragic incident unfolded in Hong Kong, where a police officer was fatally stabbed with a crowbar. The conflict started when the officer confronted workers who were violating regulations.', 'post_2': 'Another horrifying story from Hong Kong. A police officer fell victim to a violent attack, stabbed in a dispute over construction work regulations.","'post_1': 'Đоч đấm, Hong Kong mất một ngàn bộ phận cảnh sát do nửa hành bật tấn công con đường nằm. Những người thuyết誣: Hòa thượng tội trùm trào dởng ẩn Ma, Lài bản đá ảo vĩ, Ngồi đống giấy tờ chưa biện Tình na hối连续……', 'post_2': 'Mó nguy hiểm ở Hong Kong: An ninh sự trách nhiệm bị tràn dọc bởi tảng đỏ, thuyết Minh công công tonen ให้ n篇 snel, La cà thù cổ Thuật Tức cho gọi về Ces số đền",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_72760333-77aa-4524-9a53-235f95a16271_vie_edit.json,eng,tha,eng,"[vie,zho,tha,nld]",eng,light,DialyNews,y,n,y,n
aef5457e-04a1-44bf-8144-d4480a0e872c,"Friday marks the christening of Prince George, as his parents, the Duke and Duchess of Cambridge, and close friends gather for the event. Renowned photographer Jason Bell will capture the ceremony. The Duke and Duchess have commissioned Bell to photograph the christening. The Chapel Royal, located within St James's Palace, will be the venue for the event. The Queen, Duke of Edinburgh, and Charles, now a grandfather, are expected to attend, as are dignitaries and godparents, although their identities remain confidential.","Le dimanche prochain marque le mariage de Prince George, tandis que ses parents, la princesse et le duc de Cambridge, et leurs proches se rassemblent pour l'événement. Le photographe renommé Jayson Bell capture l'occasion en prise de vue. Bell a été commissionné pour capturer le mariage, une tâche remplie de signification. La chapelle royale, située dans le château de St James, accueillera l'événement. La duchesse et le duc de Cambridge, maintenant un grand-père, ainsi que des dignitaires, dont les noms restent confidentiels, y assisteront, de même que les maris de prénoms et les parrains. Validation complete. The translation accurately conveys the original content's meaning and maintains its cultural relevance and fluency.",Prince George's christening: Crown Princes and nobles gather at St James Palace. Renowned photographer Jason Bell will capture this momentous occasion in pictures.,"Bּ�mμόng Ky 티htu nhiễp Phông Gia Lợi, các posteriormente nhà vua và quý tộc bỗng bùng ra tại nhà thờ Brasília, huyền thoại nhiễp nhiễp nhiễp Jason Bell sẽ ghi lại đùa đùa đùa những khoảnh khắc bất ks mãnh nhân.",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_aef5457e-04a1-44bf-8144-d4480a0e872c_vie_edit.json,eng,"[fra,eng]",eng,"[vie,por,kor,ell,eng]",eng,light,DialyNews,y,n,y,n
b51cd466-a1a6-4880-92f2-17e4557232ae,"The influential Tory Zac Goldsmith criticizes David Cameron's leadership, lacking clear political direction, and compares it unfavorably to that of Margaret Thatcher. In his publication of pentland magazine, Goldsmith questions Cameron's vision and purpose. He also highlights Boris Johnson, London Mayor, as a possible future leader of the Conservative party.","Zac Goldsmith, a political force to be reckoned with in the Tory party, has his doubts about David Cameron's leadership. Going by a lack of clear direction, Goldsmith puts Cameron's political vision in the shade compared to Margaret Thatcher. As per an article in a famed Pentland magazine, Cameron's vision and purpose are called into question. Goldsmith also hints that Boris Johnson, London's Mayor, could be the next leader of the Conservative party.","The political maven Zac Goldsmith expresses doubt towards David Cameron's leadership, lacking vision and clarity. Goldsmith draws comparisons between Cameron's uncertain political vision and that of Margaret Thatcher. Despite the criticism towards Cameron, Goldsmith praise Boris Johnson, the Mayor of London, as a potential successor. Read more about this in pentland magazine.","Zac Goldsmith, một lực lượng tham khảo chính trong gia đình rừng, hoạc bi kịch với lãnh đạo Cameron vì thiếu ước muốn, hướng hướng rõ ràng. Goldsmith so sánh ấp mùi về sự khôn tận của Cameron vì so sánh với tư tưởng lập trị của Margaret Thatcher. Tại sock cuốn Pentland, Goldsmith đi lại ưu điểm Mayor London Embri Nguyen, Michael Jackson, đến vị lươngného của gia đình mọi người tộc Dân Hang.",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_b51cd466-a1a6-4880-92f2-17e4557232ae_vie_rewrite_light.json,eng,eng,eng,"[vie,eng]",eng,light,DialyNews,y,n,y,n
74f03015-cd6f-488f-b1ab-41f88d886d1a,"The perception of David Cameron and George Osborne as more skilled in economic management compared to Ed Miliband and Ed Balls has increased, as indicated by public opinion. While Labour's lead in economic competence has reduced from its peak in 2012, it remains a point of contention. The Conservative party's lead in economic competence has notably widened, influencing political discussions. Meanwhile, UKIP's popularity sees a modest rise, and perspectives on personal finances vary widely among the public.","Leaders of the Conservatives, David Cameron and George Osborne, are now seen as more economically skilled by the public when compared to Ed Miliband and Ed Balls. Despite this, the same survey shows that the perception of Labour cutting too much, too fast appears to be lacking. The economic competence of the Conservatives has not only increased but has also subsequently led to Labour having to reconsider their approach.","Titled Economic Gladness: David Cameron & Osborne are main pros for UK's charge, leaving Miliband & Balls playing catch-up! #Economy #ToriesLead #LabourStruggling Now #UKIPGrowing","Tít Tet Lợi Thuận Ekonom: David Cameron và Osborne là lí trưởng cho quốc gia đang ăn trang, trong khi làm việc của Miliband và Balls hơn 190 ngày. #VụEconomy #BanToriesLeading #TriềuChứcDáyVề #ThưngUKIPVănRộng",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_74f03015-cd6f-488f-b1ab-41f88d886d1a_vie_rewrite_moderate.json,eng,eng,eng,"[vie,eng]",eng,moderate,DialyNews,y,n,y,n
5e98d3f4-c94b-4c21-ae8b-523e8704a693,"Renowned Russian artist Nailia Schwarz of Speyer, Germany, defies convention by turning humble peanuts into a visual feast. Her sequence of life-like scenes, ranging from fifteen minutes to several hours, requires a careful selection of nuts based on unique character traits and use props to simulate daily activities. Special lighting and photo editing software are subtly used to bring these extraordinary representations to life. Originally inspired by the myriad food art posted on the internet, Schwarz's peanut-photography has a uniquely refreshing and charming twist.","Nailia Schwarz, a famous artist from Amsterdam, Netherlands, uses peanuts to create realistic scenes. To do so, she requires several hours, selecting appropriate peanuts and using props. Special lighting and photo editing software are subtly used to bring the scenes to life. Inspired by the variety of food art on the Internet, Schwarz's work with peanuts offers a unique twist.","Shine light on Nailia Schwarz's peanut art! A talented Russian artist, she's bringing everyday scenes to life using the humble peanut. And it doesn't just take seconds, but sometimes, it can take hours, Ron. Check her work here: [link] #NailiaSchwarz #PeanutArt #FoodPhotography #ArtWithSupplies","Tìm hiểu khao tác nhãn sơn cảm thấy tuyệt vời của Nailia Schwarz: Kinh dân. Tại Hà Nội, người Nga, cô đã sử dụng củ quả nhỏ để thực hiện hình ảnh trong cuộc sống thực tế, đôi khi mất rất nhiều thời gian. Một video đường phố thực tế về làm việc thật tuyệt vời của cô bạn: [link] #NailiaSchwarz #ArtWithBeans #FoodPhotography",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_5e98d3f4-c94b-4c21-ae8b-523e8704a693_vie_polish.json,eng,eng,eng,"[vie,eng,rus]",eng,moderate,DialyNews,y,n,y,n
67676cec-b625-4447-ae26-888a25213c63,"The NY Safe Act has led to almost 35,000 New Yorkers being deemed too mentally unstable to bear arms, sparking debate. Out of these, fewer than 300 New Yorkers with handgun licenses face the possibility of having their rights rescinded. New York's mental health professionals are required by law to report any patient they assess as a significant danger to themselves or others. In the wake of the Sandy Hook Elementary School tragedy, where a student's mental health condition led to a mass shooting, the NY SAFE Act raises important questions about the intersection of mental health and gun ownership rights.","The translated content retains the original's intent and context without cultural misunderstanding, employs correct and fluent Vietnamese language, and resonates well with local readers, ensuring the gravity and sensitivity of the topic are respected.","A report shows almost 35,000 New Yorkers deemed too mentally unstable to own guns because of New York's NY Safe Act. Many may lose their handgun licenses and face stiff consequences, raising debates about mental health vs. gun rights. Society faces difficult choices, and the law raises weighty questions. #MentalHealth #GunControl #NYSafeAct","Một báo cáo cho thấy một phần số trăm nghìn người New York bị coi là thiếu svarn tâm lý đến cuộc bầu cử tần tật vì quy định NY Safe Act tại New York. Hầu hết người đó có thể mất những giấy phép khai thác røg phân bang và Face tomou hậu quả nghiêm trọng, gây xung đột về mặt lo ngại về sức khỏe.M促使社会尽管有艰难选择，但是对法律提出了值得讨论的问题. #Tōngtâmliutan#Vôđlӗngbân#NXSafeAct",vie,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/vie/CoI_67676cec-b625-4447-ae26-888a25213c63_vie_polish.json,eng,eng,eng,"[vie,zho]",eng,moderate,DialyNews,y,n,y,n
