uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
49e51f8e-1670-4c3d-9b9a-9d65391fc2b3,"'Several items belonging to or signed by the late former British Prime Minister Margaret Thatcher are being auctioned online.  These include two pairs of black satin Rayne heels – pumps and stilettos – worn by Thatcher during her time as Prime Minister. The stiletto slingbacks, featuring a gold and black diamante cross strap, and the black silk pumps with diamante heel detail, are currently attracting bids.  Both pairs bear the Rayne Royal Warrant and the inscription 'Made especially for Mrs Margaret Thatcher'.  A letter of provenance explains how the shoes were gifted to staff at Chequers, the Prime Minister's country retreat, after her resignation.  Other items include a signed menu from Thatcher's call to the Bar in 1954, signed photographs with letters of provenance, and signed copies of her memoirs, 'The Downing Street Years' and 'The Path To Power'. The online auction, hosted by Paul Fraser Collectibles in Guernsey, closes on 30 May.'","'Merhum eski İngiliz Başbakanı Margaret Thatcher'a ait veya onun tarafından imzalanmış birkaç eşya online açık artırmada satılıyor. Bunlar arasında, Thatcher'ın Başbakanlığı döneminde giydiği iki çift siyah saten Rayne topuklu ayakkabı - bir çift pompa ve bir çift stiletto - yer alıyor. Altın ve siyah taşlı çapraz askılı stiletto slingback'ler ve taşlı topuk detaylı siyah ipek pompalar şu anda teklifleri çekiyor. Her iki çift de Rayne Kraliyet İmtiyaz Belgesi'ni ve 'Bayan Margaret Thatcher için özel olarak üretilmiştir' yazısını taşıyor.  Bir provenans mektubu, ayakkabıların Thatcher'ın istifasının ardından Başbakan'ın kır evi Chequers'daki personele nasıl hediye edildiğini açıklıyor. Diğer eşyalar arasında, Thatcher'ın 1954'te Baro'ya kabul edildiği günden imzalı bir menü,  sahibinden gelen mektuplarla imzalı fotoğraflar ve 'The Downing Street Years' ve 'The Path To Power' adlı anılarının imzalı kopyaları yer alıyor. Guernsey'deki Paul Fraser Collectibles tarafından düzenlenen online açık artırma, 30 Mayıs'ta sona eriyor.'","'Own a piece of history! Margaret Thatcher's shoes, signed memoirs, and more are up for auction. Get your bids in now! #MargaretThatcher #Auction #History #Memorabilia'","'Tarihin bir parçasına sahip olun! Margaret Thatcher'ın ayakkabıları, imzalı anıları ve daha fazlası açık artırmada. Tekliflerinizi şimdi yapın! #MargaretThatcher #AçıkArtırma #Tarih #HatıraEşyası'",tur,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/tur/CoI_49e51f8e-1670-4c3d-9b9a-9d65391fc2b3_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
cf0f9d67-53d8-4565-80a8-bf3033aa7217,"'Eighteen-year-old football sensation Demarai Gray's recent hat-trick for Birmingham City against Reading has intensified interest from Premier League giants. While manager Gary Rowett anticipates January bids, he maintains that the club isn't under financial pressure to sell.  Gray's electrifying performance has solidified his status as a rising star, prompting ongoing contract talks for a two-year extension to his current 18-month agreement. Rowett firmly believes that Birmingham offers the optimal setting for Gray's continued growth, despite reported interest from Liverpool, Tottenham, and Crystal Palace.  A previous bid of £500,000 from Palace was rejected, and Rowett insists any offer would need to be significantly higher for the club to even consider it. He praised Gray's abilities, suggesting he's one of the most promising young players he's seen. Rowett acknowledged the likelihood of substantial offers from top clubs in the January transfer window, recognizing Gray's undeniable talent.  However, he emphasized the value of consistent playing time in the Championship for a young player's development, compared to potentially limited opportunities at a larger club. Rowett stressed the club's position to nurture Gray's potential and manage his development effectively. He highlighted Gray's scarcity as a young British player with pace, skill, and goal-scoring prowess, suggesting the club holds a valuable asset.'","'On sekiz yaşındaki futbol yıldızı Demarai Gray'in Birmingham City formasıyla Reading'e karşı attığı hat-trick, Premier Lig devlerinin ilgisini arttırdı. Teknik direktör Gary Rowett, Ocak ayında teklifler beklediğini söylese de, kulübün satış yapmak için finansal bir baskı altında olmadığını vurguluyor. Gray'in göz kamaştırıcı performansı, yükselen bir yıldız olarak statüsünü pekiştirdi ve mevcut 18 aylık sözleşmesine iki yıllık bir uzatma için devam eden görüşmeleri hızlandırdı. Rowett, Liverpool, Tottenham ve Crystal Palace'ın ilgisine rağmen, Birmingham'ın Gray'in gelişimi için en uygun ortam olduğuna inanıyor. Palace'ın daha önce yaptığı 500.000 sterlinlik teklif reddedildi ve Rowett, kulübün teklifi değerlendirmesi için çok daha yüksek bir meblağ gerektiğini belirtiyor. Gray'in yeteneklerini öven Rowett, onu gördüğü en umut verici genç oyunculardan biri olarak nitelendiriyor. Rowett, Gray'in inkar edilemez yeteneğini kabul ederek, Ocak transfer döneminde üst düzey kulüplerden önemli teklifler gelme olasılığının yüksek olduğunu da kabul ediyor. Bununla birlikte, genç bir oyuncunun gelişimi için Şampiyona Ligi'nde düzenli olarak oynama süresinin değerini, büyük bir kulüpte sınırlı fırsatlara kıyasla vurguladı. Rowett, kulübün Gray'in potansiyelini besleme ve gelişimini etkili bir şekilde yönetme konusundaki konumunun altını çizdi. Hızlı, yetenekli ve gol atan genç bir İngiliz oyuncu olarak Gray'in nadir olduğunu vurgulayarak, kulübün değerli bir varlığa sahip olduğunu öne sürdü.'",'18-year-old Demarai Gray's hat-trick for Birmingham City has Premier League clubs buzzing!  Manager Gary Rowett says they're ready for bids but not pressured to sell. #DemaraiGray #BirminghamCity #Championship #TransferNews',"'18 yaşındaki Demarai Gray'in Birmingham City formasıyla attığı hat-trick, Premier Lig kulüplerinin dikkatini çekti! Teknik direktör Gary Rowett, teklifler için hazır olduklarını ancak satış baskısı altında olmadıklarını söyledi. #DemaraiGray #BirminghamCity #Şampiyona #TransferHaberleri'",tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_cf0f9d67-53d8-4565-80a8-bf3033aa7217_tur_rewrite_complete.json,eng,tur,eng,tur,eng,complete,DialyNews,n,y,y,n
4ea05e30-66aa-4ae8-8bc4-67c2eb0f3b36,"'On August 27, 2011, two hoax devices triggered a significant police operation and evacuations in Canterbury, Kent.  A suspicious package resembling a bomb was discovered by a railway line, and a small fire linked to another hoax device occurred in a Marks & Spencer store.  Assistant Chief Constable Andy Adams confirmed that neither device posed a genuine threat.  The incidents prompted numerous calls about suspicious activity, including one concerning the Kent Cricket Ground where the Indian cricket team was playing, though no direct threat to the team was found.  Police, suspecting the two main incidents are connected, appealed for public assistance in identifying the perpetrator(s), emphasizing the seriousness of the offense.  Areas near the railway line and the shopping district were evacuated, causing disruption to residents, workers, and commuters.  Train services were temporarily suspended.  A witness, Martin Hayner, described the scene and expressed frustration at the disruption to his work. Police maintained a strong presence, with around 100 officers and other emergency personnel involved.'","'27 Ağustos 2011'de, Kent, Canterbury'de iki sahte düzenek önemli bir polis operasyonunu ve tahliyeleri tetikledi. Demiryolu hattı yakınında bombaya benzeyen şüpheli bir paket bulundu ve Marks & Spencer mağazasında başka bir sahte düzeneğe bağlı küçük bir yangın çıktı. Polis Şefi Yardımcısı Andy Adams, her iki düzeneklerin de gerçek bir tehdit oluşturmadığını doğruladı. Olaylar, Hint kriket takımının oynadığı Kent Kriket Sahası ile ilgili bir çağrı da dahil olmak üzere şüpheli faaliyetlerle ilgili çok sayıda çağrıya neden oldu, ancak takıma yönelik doğrudan bir tehdit bulunamadı. İki ana olayın bağlantılı olduğundan şüphelenen polis, suçun ciddiyetini vurgulayarak fail(ler)in tespit edilmesi için halktan yardım istedi. Demiryolu hattı ve alışveriş bölgesine yakın alanlar tahliye edildi ve bu da bölge sakinlerini, çalışanları ve yolcuları olumsuz etkiledi. Tren seferleri geçici olarak askıya alındı. Bir görgü tanığı olan Martin Hayner, olay yerini anlattı ve işinin aksamasından duyduğu rahatsızlığı dile getirdi. Polis, yaklaşık 100 memur ve diğer acil durum personeli ile olay yerinde güçlü bir varlık gösterdi.'","'Canterbury hoax causes chaos! Bomb scares disrupt city centre, but police confirm no real threat. #Canterbury #Hoax #Police #SafetyFirst'",'Canterbury'de sahte bomba paniği! Şehir merkezi karıştı ama polis gerçek bir tehdit olmadığını doğruladı. #Canterbury #SahteBomba #Polis #GüvenlikÖncelik',tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_4ea05e30-66aa-4ae8-8bc4-67c2eb0f3b36_tur_rewrite_light.json,eng,"[tur,eng]",eng,tur,eng,light,DialyNews,y,n,y,n
09f4355e-ec67-4538-b395-f879012cb7ef,"Move over, vampires and werewolves! Witches are casting a spell on Hollywood.  From television series like Lifetime's 'Witches of East End' and the latest season of 'American Horror Story: Coven' to the box office success of 'Oz the Great and Powerful,' witchcraft is captivating audiences. This resurgence coincides with the anniversaries of classic witch-themed entertainment like 'Bewitched' and Disney's 'Hocus Pocus.' TV critic Ed Bark suggests that the allure of witches lies in their 'magical mysterious powers' which provide endless story possibilities.  He also points out the shift in portrayal from the traditional 'Wicked Witch' to more glamorous versions.  Allison Keene of the Hollywood Reporter agrees, observing that current witch characters on television are predominantly female and 'really sexy,' possibly as a counterpoint to the often seductive male vampire.  She also speculates that the trend could be cyclical, influenced by a generation who grew up with shows like 'Sabrina the Teenage Witch' and 'Charmed.'  Keene views the shift positively, noting that these powerful female characters offer a refreshing change from the damsel-in-distress trope often seen in other supernatural narratives.","Vampirler ve kurt adamlar, kenara çekilin! Cadılar Hollywood'u büyülüyor. Lifetime'ın 'Witches of East End' ve 'American Horror Story: Coven'ın son sezonu gibi televizyon dizilerinden gişe rekortmeni 'Oz the Great and Powerful'e kadar, cadılık izleyicileri büyülüyor. Bu yeniden canlanış, 'Bewitched' ve Disney'in 'Hocus Pocus'ı gibi klasik cadı temalı yapımların yıldönümleriyle aynı zamana denk geliyor. Televizyon eleştirmeni Ed Bark, cadıların cazibesinin sonsuz hikaye olanakları sağlayan 'büyülü gizemli güçlerinde' yattığını öne sürüyor. Ayrıca, geleneksel 'Kötü Cadı'dan daha göz alıcı versiyonlara doğru tasvirdeki değişime de dikkat çekiyor. Hollywood Reporter'dan Allison Keene de aynı fikirde ve televizyondaki mevcut cadı karakterlerinin çoğunlukla kadın ve 'gerçekten seksi' olduğunu, muhtemelen genellikle baştan çıkarıcı erkek vampirlere bir karşı nokta olarak görüyor. Ayrıca, trendin döngüsel olabileceğini ve 'Sabrina the Teenage Witch' ve 'Charmed' gibi dizilerle büyüyen bir nesilden etkilendiğini düşünüyor. Keene, bu güçlü kadın karakterlerin diğer doğaüstü anlatılarda sıklıkla görülen çaresiz kız klişesinden ferahlatıcı bir değişiklik sunduğunu belirterek değişimi olumlu olarak görüyor.","Witches are back and better than ever! 🧙‍♀️ From 'Witches of East End' to 'AHS: Coven,' Hollywood's spellbound. What's the magic behind this trend? #Witchcraft #Hollywood #TVShows #Movies","Cadılar geri döndü ve her zamankinden daha güçlü! ✨ 'Witches of East End'den 'AHS: Coven'a, Hollywood büyü altında. Bu trendin büyüsü ne? #Cadılık #Hollywood #Diziler #Filmler",tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_09f4355e-ec67-4538-b395-f879012cb7ef_tur_rewrite_moderate.json,eng,tur,eng,"[tur,eng]",eng,moderate,DialyNews,y,n,y,n
35730095-277f-4c47-bc08-a43bc3440831,"'In Berkeley, California, a clash has unfolded between the City Council and the U.S. Marine Corps. The council recently passed a resolution declaring Marine recruiters undesirable in the city and endorsing protests against their presence. This decision has drawn sharp criticism and threats of funding cuts from Republican lawmakers in Washington. The dispute began after the Berkeley City Council formally expressed its disapproval of the Marine recruiting office in the city center, effectively asking them to leave. This action has sparked demonstrations by anti-war groups like Code Pink, who have been staging protests outside the recruiting station. They voice their opposition to the Iraq war and military recruitment. Conversely, veterans and some students have voiced support for the Marines, criticizing the City Council's stance. Despite the escalating tension, the Marine Corps has affirmed its intention to maintain its Berkeley office.  The situation has also prompted legislative action, with the introduction of the Semper Fi Act of 2008. This bill aims to withdraw over $2 million in federal funds allocated to Berkeley and reallocate them to the Marine Corps.'","'Berkeley, Kaliforniya'da, Şehir Konseyi ile ABD Deniz Piyadeleri arasında bir çatışma yaşandı. Konsey kısa süre önce, Deniz Piyadeleri işe alım görevlilerini şehirde istenmeyen ilan eden ve varlıklarına karşı protestoları destekleyen bir karar aldı. Bu karar, Washington'daki Cumhuriyetçi milletvekillerinden sert eleştiriler ve fon kesintileri tehditleri aldı. Anlaşmazlık, Berkeley Şehir Konseyi'nin şehir merkezindeki Deniz Piyadeleri işe alım ofisini resmen onaylamadığını ifade etmesiyle başladı ve etkili bir şekilde ayrılmalarını istedi. Bu eylem, işe alım istasyonunun dışında protestolar düzenleyen Code Pink gibi savaş karşıtı grupların gösterilerine yol açtı. Irak savaşına ve askerlik alımına karşı çıkıyorlar. Tersine, gaziler ve bazı öğrenciler, Şehir Konseyi'nin duruşunu eleştirerek Deniz Piyadelerini desteklediklerini dile getirdiler. Tırmanan gerilime rağmen, Deniz Piyadeleri, Berkeley ofisini koruma niyetini teyit etti. Durum ayrıca, 2008 Semper Fi Yasası'nın getirilmesiyle yasal işlem başlatılmasına da neden oldu. Bu yasa tasarısı, Berkeley'e tahsis edilen 2 milyon doların üzerinde federal fonu çekmeyi ve Deniz Piyadeleri'ne yeniden tahsis etmeyi amaçlıyor.'","'Berkeley clashes with Marines! City council says recruiters not welcome, sparks protests and threats of funding cuts. #Berkeley #Marines #protest #politics'","'Berkeley, Deniz Piyadeleri ile çatışıyor! Şehir konseyi, işe alım görevlilerinin istenmediğini söyledi, protestolara ve fon kesintileri tehditlerine yol açtı. #Berkeley #DenizPiyadeleri #protesto #siyaset'",tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_35730095-277f-4c47-bc08-a43bc3440831_tur_rewrite_complete.json,eng,tur,eng,tur,eng,complete,DialyNews,n,y,y,n
1a4378df-dccd-4d6c-bd54-b82e9d5ee2fe,"'In Southampton, a determined mother, Gemma Jarman (24), played a crucial role in bringing her abusive ex-partner, Jesse Fleischer (38), to justice. Fleischer had initially received a suspended sentence for assaulting Jarman in front of their two-year-old daughter, Freya. However, Jarman suspected Fleischer's presented character reference from the Marwell Hotel was fabricated. Jarman, an intensive care nurse, sustained a fractured cheekbone and a broken tooth during the attack. Driven by a desire for justice, she informed the police of her suspicions. An investigation confirmed the reference was forged, as Fleischer had already been fired from the hotel. Fleischer's deception, meant to portray him as a valuable member of society, was exposed as a poorly written document. This action led to Fleischer being sentenced to two years and four months in prison for perverting the course of justice. Jarman expressed immense relief, stating that the ordeal had been deeply traumatic. She and her daughter had lived in constant fear since the assault. The forged reference had allowed Fleischer to initially evade imprisonment. Judge Michael Parroy QC, presiding over the case at Winchester Crown Court, acknowledged that the false reference had influenced his earlier decision. The judge emphasized that Fleischer would have been jailed immediately had the truth been known.'","'Southampton'da kararlı bir anne olan Gemma Jarman (24), istismarcı eski partneri Jesse Fleischer'ı (38) adalete teslim etmede önemli bir rol oynadı. Fleischer, iki yaşındaki kızları Freya'nın önünde Jarman'a saldırmaktan başlangıçta ertelenmiş bir hapis cezası almıştı. Ancak Jarman, Fleischer'ın sunduğu Marwell Hotel'den gelen karakter referansının sahte olduğundan şüpheleniyordu. Yoğun bakım hemşiresi olan Jarman, saldırı sırasında kırık bir elmacık kemiği ve kırık bir diş geçirdi. Adalet arzusuyla hareket eden, şüphelerini polise bildirdi. Bir soruşturma, Fleischer'ın otelden çoktan kovulmuş olması nedeniyle referansın sahte olduğunu doğruladı. Fleischer'ın kendisini toplumun değerli bir üyesi olarak göstermeyi amaçlayan aldatmacası, kötü yazılmış bir belge olarak ortaya çıktı. Bu eylem, Fleischer'ın adaleti engellemekten iki yıl dört ay hapis cezasına çarptırılmasına yol açtı. Jarman, yaşadıklarının çok travmatik olduğunu belirterek büyük bir rahatlama ifade etti. O ve kızı saldırıdan beri sürekli korku içinde yaşıyorlardı. Sahte referans, Fleischer'ın başlangıçta hapis cezasından kaçınmasına olanak sağlamıştı. Winchester Crown Mahkemesi'nde davaya başkanlık eden Yargıç Michael Parroy QC, sahte referansın önceki kararını etkilediğini kabul etti. Yargıç, gerçek bilinse Fleischer'ın derhal hapsedileceğini vurguladı.'","'Mom turns detective! After being assaulted, Gemma Jarman exposed her ex's fake reference, landing him in jail. Talk about taking a stand! #JusticeServed #NoMoreSilence #DomesticViolenceAwareness'","'Anne dedektif oldu! Saldırıya uğrayan Gemma Jarman, eski sevgilisinin sahte referansını ortaya çıkararak hapse girmesini sağladı. Dik duruş örneği! #AdaletYeriniBuldu #SustukYeter #AileİçiŞiddeteHayır'",tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_1a4378df-dccd-4d6c-bd54-b82e9d5ee2fe_tur_rewrite_moderate.json,eng,"[tur,eng]",eng,tur,eng,moderate,DialyNews,y,n,y,n
6bbaed1a-375c-44fa-81b5-55f135cfcf3a,"'A Russian businessman, Bakhtiyar Salimov, experienced debilitating back pain following intimate relations with his partner, prima ballerina Anastasia Volochkova.  Volochkova, 38, told Russian media outlet Life News that Salimov, 45, was bedridden after the encounter and required medical attention. Volochkova gained notoriety in 2003 when she was dismissed from the Bolshoi Ballet, allegedly due to her weight and height.  She successfully sued the ballet and subsequently launched a solo career. According to Life News, Salimov had recently recovered from an illness. Volochkova stated that Salimov's back pain became unbearable after their intimate moments, necessitating two ambulance visits.  The administered medication provided no relief.'","'Rus iş insanı Bakhtiyar Salimov, partneri prima balerin Anastasia Volochkova ile yakınlaştıktan sonra güçten düşüren sırt ağrıları yaşadı. 38 yaşındaki Volochkova, Rus medya kuruluşu Life News'a, 45 yaşındaki Salimov'un karşılaşmanın ardından yatağa bağımlı hale geldiğini ve tıbbi yardım alması gerektiğini söyledi. Volochkova, 2003 yılında Bolşoy Balesi'nden, boyu ve kilosu nedeniyle iddia edildiği üzere çıkarıldıktan sonra ün kazandı. Bale şirketine başarıyla dava açtı ve ardından solo kariyerine başladı. Life News'a göre, Salimov yakın zamanda bir hastalıktan iyileşmişti. Volochkova, Salimov'un sırt ağrılarının yakınlaşmalarının ardından dayanılmaz hale geldiğini ve iki kez ambulans çağrılmasına neden olduğunu belirtti. Verilen ilaçlar herhangi bir rahatlama sağlamadı.'",'Ballerina Anastasia Volochkova's partner suffers back pain after romantic encounter. Ouch! #ballerina #romance #oops','Balerin Anastasia Volochkova'nın partneri romantik karşılaşma sonrası sırt ağrısı çekiyor. Ay! #balerin #romantik #eyvah',tur,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/tur/CoI_6bbaed1a-375c-44fa-81b5-55f135cfcf3a_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
af70fdec-2b2a-4ed2-8b83-a1c6ea21aae1,"'During a pre-recorded apology on First Take, ESPN host Stephen A. Smith addressed his controversial comments about women's role in domestic violence situations, calling them the biggest mistake of his career. He clarified that his intention wasn't to blame women, but to discuss how everyone can contribute to preventing such incidents. While discussing Ray Rice's suspension for knocking out his then-fiancée, Smith's words were interpreted as blaming the victim. He acknowledged this misinterpretation and reiterated his condemnation of violence against women. ESPN released a statement backing Smith's apology, emphasizing his understanding of the company's values. Co-host Cari Champion pointed out how certain words can be triggering for abuse survivors. Strong criticism, particularly from ESPN's Michelle Beadle, condemned Smith's initial remarks as victim-blaming. Beadle's public disapproval via Twitter questioned the message being sent to victims of abuse. Smith, after deleting previous defensive tweets, issued an apology and clarified his stance. He emphasized his disapproval of domestic violence and expressed regret for how his words were perceived.'","'ESPN sunucusu Stephen A. Smith, First Take programında yayınlanan önceden kaydedilmiş bir özür videosunda, kadınların erkeklerden kaynaklanan aile içi şiddeti kışkırtmamak için 'kendi paylarına düşeni yapabilecekleri' yönündeki yorumunun kariyerinin 'en büyük hatası' olduğunu söyledi. Kadınları suçlama niyetinde olmadığını açıklayan Smith, bu tür olayların önlenmesine herkesin nasıl katkıda bulunabileceğini tartışmak istediğini belirtti. Ray Rice'ın nişanlısına attığı yumruk nedeniyle aldığı ceza tartışılırken, Smith'in sözleri mağduru suçlar gibi algılanmıştı. Smith bu yanlış anlamayı kabul ederek kadınlara yönelik şiddeti kınadığını yineledi. ESPN, Smith'in şirket değerlerini anladığını vurgulayan bir açıklamayla özrü destekledi. Programın ortak sunucusu Cari Champion, bazı kelimelerin istismar mağdurları için tetikleyici olabileceğine dikkat çekti. Özellikle ESPN'den Michelle Beadle'ın sert eleştirileri, Smith'in ilk yorumlarını mağduru suçlamak olarak nitelendirdi. Beadle, Twitter üzerinden yaptığı eleştirilerde, istismar mağdurlarına gönderilen mesajı sorguladı. Smith ise daha önce attığı savunmacı tweet'leri sildikten sonra özür dileyerek duruşunu açıklığa kavuşturdu. Aile içi şiddeti onaylamadığını vurgulayarak, sözlerinin nasıl algılandığı için üzüntü duyduğunu ifade etti.'",'Stephen A. Smith apologizes for his 'egregious error' on domestic violence! #StephenASmith #ESPN #DomesticViolence #Apology','Stephen A. Smith aile içi şiddet hakkındaki sözleri için özür diledi! #StephenASmith #ESPN #AileİçiŞiddet #Özür',tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_af70fdec-2b2a-4ed2-8b83-a1c6ea21aae1_tur_rewrite_moderate.json,eng,tur,eng,tur,eng,moderate,DialyNews,y,n,y,n
16540543-3862-46e1-ac8e-c2b214639d61,"'A congressional investigation has revealed the extensive misuse of restraint and disciplinary techniques on special education children across American schools. This includes cases of seclusion and physical restraint, with some instances tragically resulting in death.  Rep. George Miller (D-CA) highlighted the severity, stating some practices have proven 'lethal.'  The Government Accountability Office (GAO) is set to release a report detailing these findings.  One case highlighted involves 7-year-old Garrett Peck, who was reportedly confined to an isolation cubicle for over two hours by his teacher in Utah.  Garrett’s parents, Joshua and Becca Peck, expressed deep distress, describing the incident as 'torture.'  They weren’t informed until Garrett showed behavioral changes. This case exemplifies the lack of communication between schools and parents observed nationwide. Existing regulations on such practices are patchy, lacking in roughly half of the states, according to Miller. The GAO found teacher training in proper restraint methods is often insufficient, with instances where teachers responsible for injuries caused by improper restraints were not reprimanded. Few states actively track cases of restraint or seclusion.  A Pennsylvania school, however, demonstrates a successful alternative. The Centennial School, having previously recorded over 1,000 restraint and seclusion incidents annually, implemented a positive behavior support program and communication training for students.  Today, such occurrences are rare, showing it’s possible to handle behavioral challenges positively. They prioritize teaching communication skills and de-escalation techniques.  The upcoming GAO report will underscore the urgent need for effective measures in this matter.'","'ABD okullarında özel eğitim öğrencilerine yönelik uygulanan disiplin ve zaptetme tekniklerinin yaygın bir şekilde kötüye kullanıldığı, bazı ölümlere de yol açtığı bir Kongre soruşturmasıyla ortaya çıkarıldı. Bu vakalar, tecrit ve fiziksel kısıtlamayı içeriyor ve bazı uygulamalar trajik bir şekilde ölüme yol açıyor. Kaliforniya Demokrat Temsilcisi George Miller, bazı uygulamaların 'ölümcül' olduğunu belirterek ciddiyetin altını çizdi.  Devlet Hesap Verebilirlik Ofisi (GAO), bu bulguları ayrıntılarıyla anlatan bir rapor yayınlayacak.  Vurgulanan vakalardan biri, Utah'ta öğretmeni tarafından iki saatten fazla bir süre tecrit hücresinde tutulan 7 yaşındaki Garrett Peck ile ilgili. Garrett'ın ailesi, Joshua ve Becca Peck, olayı 'işkence' olarak nitelendirerek derin üzüntülerini dile getirdiler. Garrett davranış değişiklikleri gösterene kadar bilgilendirilmediler. Bu vaka, ülke genelinde okullar ve ebeveynler arasında gözlemlenen iletişim eksikliğini örnekliyor. Miller'a göre, bu tür uygulamalara ilişkin mevcut düzenlemeler düzensiz ve eyaletlerin yaklaşık yarısında eksik. GAO, öğretmenlerin uygun zaptetme yöntemleri konusunda eğitimlerinin genellikle yetersiz olduğunu ve uygunsuz kısıtlamaların neden olduğu yaralanmalardan sorumlu öğretmenlerin cezalandırılmadığı durumlar olduğunu tespit etti.  Çok az eyalet, kısıtlama veya tecrit vakalarını aktif olarak takip ediyor. Bununla birlikte, Pennsylvania'daki bir okul başarılı bir alternatif sunuyor. Daha önce yılda 1.000'den fazla kısıtlama ve tecrit vakası kaydeden Centennial Okulu, öğrenciler için olumlu davranış destek programı ve iletişim eğitimi uyguladı. Bugün, bu tür olaylar nadirdir ve davranışsal zorlukların olumlu bir şekilde ele alınabileceğini göstermektedir. İletişim becerilerinin ve gerilimi azaltma tekniklerinin öğretilmesine öncelik veriyorlar.  Yaklaşan GAO raporu, bu konuda etkili önlemlerin acil ihtiyacının altını çizecektir.'",'Shocking report reveals widespread misuse of restraint & seclusion on special ed kids.  #SpecialEducation #SchoolSafety #ReformNeeded','Özel eğitim çocuklarına yönelik kısıtlama ve tecritin kötüye kullanımı raporu şok etti. #ÖzelEğitim #OkulGüvenliği #DeğişimGerekli',tur,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/tur/CoI_16540543-3862-46e1-ac8e-c2b214639d61_tur_rewrite_light.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
4fd31eb2-e2c6-474c-b16a-90ebe8860b0d,"The body of 87-year-old Shirley Dermond, missing since her husband's murder, was found in Lake Oconee, Georgia. Her husband, 88-year-old Russell Dermond, was found decapitated in their garage on May 7th. Police suspect Shirley was abducted. The couple's $1 million home in Great Waters, Reynolds Plantation, showed no signs of forced entry, and their car keys and cell phones were left behind. Investigators are baffled by the gruesome crime and have no leads. A $20,000 reward was offered. The Dermonds' son, Keith, expressed the family's devastation. Sheriff Howard Sills denied rumors of Russell Dermond's involvement in a witness protection program or connections to their son Mark's murder in a drug deal in 2000.","87 yaşındaki Shirley Dermond'un cesedi, kocasının cinayetinden bu yana kayıpken, Georgia, Oconee Gölü'nde bulundu. 88 yaşındaki kocası Russell Dermond, 7 Mayıs'ta garajlarında başı kesilmiş halde bulundu. Polis, Shirley'nin kaçırıldığından şüpheleniyor. Çiftin Reynolds Plantasyonu, Great Waters'daki 1 milyon dolarlık evlerinde zorla girildiğine dair hiçbir iz yoktu ve araba anahtarları ve cep telefonları geride bırakılmıştı. Araştırmacılar korkunç suç karşısında şaşkına döndüler ve hiçbir ipucu yok. 20.000 dolarlık bir ödül teklif edildi. Dermond'ların oğlu Keith, ailenin yıkımını dile getirdi. Şerif Howard Sills, Russell Dermond'un bir tanık koruma programına dahil olduğuna veya oğulları Mark'ın 2000 yılında bir uyuşturucu anlaşmazlığında öldürülmesiyle bağlantılı olduğuna dair söylentileri yalanladı.","Elderly couple found dead in Georgia. Husband decapitated, wife's body discovered in lake. #Tragedy #UnsolvedMystery #JusticeForDermonds","Yaşlı çift Georgia'da ölü bulundu. Kocası başı kesilmiş, eşinin cesedi gölde bulundu. #Trajedi #ÇözülmemişGizem #DermondlarİçinAdalet",tur,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/tur/CoI_4fd31eb2-e2c6-474c-b16a-90ebe8860b0d_tur_edit.json,,tur,,tur,,light,DialyNews,y,n,y,n
