uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
98811400-9a01-4bca-8202-803e74a49508,"In 1997, Kevin Turner, a former Philadelphia Eagles fullback, suffered a nasty collision during a kickoff that left him disoriented. Despite the severity of the hit, the team's medical staff cleared him to continue playing. Turner is now battling ALS, a disease his lawyers claim is linked to the repeated head trauma he experienced during his NFL career. Turner is part of a growing number of former NFL players suing the league for alleged negligence in protecting players from head injuries. The NFL has denied the allegations, stating it has made significant efforts to improve player safety and understand the risks associated with head trauma.","V roku 1997 utrpel Kevin Turner, bývalý fullback Philadelphia Eagles, tvrdú kolíziu počas výkopu, ktorá ho nechala dezorientovaného. Napriek závažnosti úderu tímový lekársky tím rozhodol, že môže pokračovať v hre. Turner teraz bojuje s ALS, chorobou, ktorú jeho právnici tvrdia, že súvisí s opakovaným traumatom hlavy počas jeho kariéry v NFL. Turner je súčasťou rastúceho počtu bývalých hráčov NFL, ktorí žalujú ligu za údajnú nedbanlivosť pri ochrane hráčov pred zraneniami hlavy. NFL obvinenia poprela a uviedla, že podnikla významné kroky na zlepšenie bezpečnosti hráčov a pochopenie rizík spojených s traumatom hlavy.",Former NFL player Kevin Turner is battling ALS after suffering repeated head trauma during his career. He's one of many players suing the NFL for negligence. #NFL #ALS #PlayerSafety,"Bývalý hráč NFL Kevin Turner bojuje s ALS po opakovaných traumatoch hlavy počas svojej kariéry. Je jedným z mnohých hráčov, ktorí žalujú NFL za nedbanlivosť. #NFL #ALS #BezpečnosťHráčov",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_98811400-9a01-4bca-8202-803e74a49508_slk_rewrite_light.json,eng,slk,eng,slk,eng,light,DialyNews,y,n,y,n
6abce766-bac3-41d1-9934-777ba8b33b40,"Social media companies continue to allow 'harmful content' to reach young people, according to Ian Russell, father of Molly Russell. He is horrified by the scale of the issue and notes that 'little has changed' since Molly took her life at 14. Research by the Molly Rose Foundation shows young users can still access content related to suicide and self-harm on TikTok, Instagram, and Pinterest. The platforms assert they are working hard to protect teenagers and have developed new tools to limit access to harmful content.","Sociálne mediálne spoločnosti stále umožňujú 'škodlivý obsah' dostať sa k mladým ľuďom, uviedol Ian Russell, otec Molly Russell. Je horrifikovaný rozsahom problému a uviedol, že 'málo sa zmenilo' od smrti Molly vo veku 14 rokov. Výskum nadácie Molly Rose preukázal, že mladí používatelia majú naďalej prístup k obsahu súvisiacemu so samovraždou a sebapoškodzovaním na TikTok, Instagram a Pinterest. Tieto platformy tvrdia, že pracujú na tom, aby ochránili teenagerov, a vyvinuli nové nástroje na obmedzenie prístupu k škodlivému obsahu.","New research reveals social media platforms still allow harmful content to reach young users. 'Little has changed' since Molly Russell's tragic death, says her father. #SocialMedia #MentalHealth","Nový výskum odhalil, že sociálne mediálne platformy stále umožňujú škodlivý obsah dostať sa k mladým používateľom. 'Málo sa zmenilo' od tragickej smrti Molly Russell, hovorí jej otec. #SocialneMedia #DusevneZdravie",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_6abce766-bac3-41d1-9934-777ba8b33b40_slk_edit.json,eng,slk,eng,slk,eng,light,GlobalNews,y,n,y,n
4f39ffdd-4785-4e01-b71a-ca51f7bdf547,"Jack Wilshere has thrown his full support behind England team-mate Wayne Rooney and his position as captain of the national side. Rooney was named the new Three Lions skipper following Steven Gerrard's retirement after the World Cup. In his first match as captain, Rooney led Roy Hodgson's side to a 1-0 win over Norway at Wembley. Wilshere has backed Rooney's senior role, stating that the Manchester United star is respected in the dressing room and shows relevant leadership skills. 'He's great,' Wilshere said. 'Even before he was made captain, I looked up to him. He's a leader and isn't scared to tell you when you're doing something wrong.' Wilshere's form has been under scrutiny following mediocre showings for Arsenal, but he's convinced he can retain his England place alongside Jordan Henderson. 'I played with Jordan for a few years at under-21 level, and I worked well with him. He's fit and gets up the pitch well.' Wilshere also praised Arsenal's signing of Danny Welbeck, saying, 'He has great enthusiasm and quality on the ball.'","Jack Wilshere dal svoju plnú podporu svojmu spoluhráčovi z anglického národného tímu Waynovi Rooneymu a jeho pozícii kapitána. Rooney bol menovaný za nového kapitána po odchode Stevena Gerrarda do dôchodku. V prvom zápase ako kapitán viedol Rooney tím k víťazstvu 1:0 nad Nórskom na Wembley. Wilshere uviedol, že Rooney je vodcom a že nie je strach mu povedať, keď robíš niečo zle. Wilshereho forma bola pod drobnohľadom po priemerných výkonoch za Arsenal, ale je presvedčený, že si dokáže udržať svoje miesto v anglickom tíme popri Jordane Hendersonovi. Wilshere tiež chválil prestup Danny Welbecka do Arsenalu.",Jack Wilshere backs Wayne Rooney as England captain! 'He's a leader and isn't scared to tell you when you're doing something wrong.' #England #Rooney #Wilshere,"Jack Wilshere podporil Wayna Rooneyho ako kapitána Anglicka! 'Je vodcom a nie je mu strach povedať, keď robíš niečo zle.' #Anglicko #Rooney #Wilshere",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_4f39ffdd-4785-4e01-b71a-ca51f7bdf547_slk_edit.json,eng,slk,eng,"[eng,slk]",eng,light,DialyNews,y,n,y,n
830526b3-471e-400c-ba4f-4d28848d3560,"Moner Mohammad Abusalha, a 22-year-old US citizen, carried out a suicide bombing in Syria on May 25 for the al-Nusra Front, a militant group linked to al-Qaeda. Despite having visited Syria previously and receiving training there, Abusalha wasn't closely monitored by US authorities upon his return to the country. Abusalha's journey involved multiple trips and interactions with extremist groups, raising concerns about the effectiveness of surveillance and counterterrorism efforts.","Moner Mohammad Abusalha, 22-ročný občan USA, vykonal samovražedný bombový útok v Sýrii 25. mája za al-Nusra Front, militantnú skupinu spojenú s al-Káidou. Napriek tomu, že predtým navštívil Sýriu a bol tam vycvičený, Abusalha nebol po svojom návrate do USA dôkladne monitorovaný. Jeho cesta zahŕňala niekoľko ciest a interakcií s extrémistickými skupinami, čo vyvoláva otázky týkajúce sa účinnosti monitorovania a protiteroristických opatrení.","Breaking: 'US citizen Moner Mohammad Abusalha carries out deadly Syria suicide bombing for al-Nusra Front, raising concerns over surveillance failures! #Syria #Terrorism #Surveillance'",Sledovanie zlyhalo: 'Občan USA Moner Mohammad Abusalha vykonal smrteľný samovražedný útok v Sýrii za al-Nusra Front! #Sýria #Terorizmus #Dohľad',slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_830526b3-471e-400c-ba4f-4d28848d3560_slk_rewrite_complete.json,eng,slk,eng,"[slk,eng]",eng,complete,DialyNews,n,y,y,n
6da6b35c-f9a0-4803-b371-43b83d4ed5e3,"Foxconn, the world's largest contract electronics maker and a major Apple supplier, maintained its outlook for strong year-end holiday sales on Sunday, noting that customers in China and the US are buying well. The fourth quarter is a 'traditional peak season' for consumer tech products, with operations expected to 'ramp up sequentially'. Foxconn's revenue reached $23.09 billion in October, driven by significant growth in smart consumer electronics.","Foxconn, najväčší svetový výrobca elektroniky na zákazku a významný dodávateľ Apple, si na nedeľu udržal svoj výhľad na silné predaje počas sviatkov, pričom poznamenal, že zákazníci v Číne a USA kupujú aktívne. Štvrtý štvrťrok je pre spotrebnú elektroniku 'tradične najsilnejšou sezónou', s očakávaním postupného zvyšovania operácií. Príjmy Foxconnu dosiahli v októbri 23,09 miliardy dolárov vďaka výraznému rastu v oblasti inteligentnej spotrebnej elektroniky.","Foxconn expects strong year-end sales! 'Customers in China and the US are buying well,' says the world's largest contract electronics maker. #Foxconn #Apple #Tech","Foxconn očakáva silné predaje na konci roka! 'Zákazníci v Číne a USA kupujú aktívne,' hovorí najväčší svetový výrobca elektroniky na zákazku. #Foxconn #Apple #Technológie",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_6da6b35c-f9a0-4803-b371-43b83d4ed5e3_slk_polish.json,eng,"[slk,eng]",eng,"[slk,ces,eng]",eng,moderate,GlobalNews,y,n,y,n
7b237f09-b093-4cad-840f-299e6ec07d1d,"After taking a long, hard look at some of America's biggest cities, Kink University has determined that Portland, Oregon is the nation's 'kinkiest town'. The Pacific Northwest city topped the list for having the largest population of kink-identified people, with 3.99 percent considered to be among the 'adventurously amorous'. Kink University used four criteria: 'the total size of the kink-identified population, the size of the population relative to the city's size, the number of resources available for kink-identified people, and adult entertainment purchases in each city.' Coming in second was San Francisco. Rounding out the top ten from most to least 'kinky' are New York City, Chicago, Washington D.C., Los Angeles, Seattle, Boston, Philadelphia, and Las Vegas. The University is a public outreach program from Kink.com, which aims to celebrate alternative sexuality and demystify its practices.","Po dôkladnom preskúmaní niektorých z najväčších amerických miest, Kink University určila, že Portland, Oregon je 'najkinkovejšie mesto' v krajine. Mesto v Pacifikom severozápade bolo na vrchole zoznamu kvôli najväčšej populácii ľudí identifikovaných ako kink, pričom 3,99 percenta sa považuje za 'dobrodružne náruživosť'. Kink University použila štyri kritériá: 'celkovú veľkosť populácie identifikovanej ako kink, veľkosť populácie v pomere k veľkosti mesta, počet zdrojov dostupných pre ľudí identifikovaných ako kink a nákupy dospelých zábav v každom meste.' Na druhom mieste sa umiestnil San Francisco. Do prvej desiatky od najviac po najmenej 'kink' patria New York City, Chicago, Washington D.C., Los Angeles, Seattle, Boston, Philadelphia a Las Vegas. Univerzita je programom pre verejnosť od Kink.com, ktorý si kladie za cieľ oslavovať alternatívnu sexualitu a demystifikovať jej praktiky.","Discover America's 'kinkiest town'! Portland, Oregon tops the list with 3.99% of its population identifying as 'kink'. Learn more about the city's vibrant community! #KinkUniversity #Portland #AlternativeSexuality","Zistite, ktoré mesto je 'najkinkovejšie' v Amerike! Portland, Oregon je na vrchole zoznamu s 3,99% obyvateľstva identifikovaného ako 'kink'. Získajte viac informácií o živej komunite mesta! #KinkUniversity #Portland #AlternatívnaSexualita",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_7b237f09-b093-4cad-840f-299e6ec07d1d_slk_edit.json,eng,"[slk,eng]",eng,"[slk,eng]",eng,light,DialyNews,y,n,y,n
4d12097d-3774-4121-bd1b-bbe1cd085000,"Washington (CNN) -- A shaky video captured a few moments of William D. Swenson's actions during a brutal battle in Afghanistan: kissing a badly wounded comrade on the forehead as he helped load the soldier into a helicopter. President Barack Obama awarded Swenson the Medal of Honor for his actions in the Ganjgal Valley on September 8, 2009. Swenson, 34, of Seattle, is the sixth living recipient from the wars in Iraq and Afghanistan to earn the honor.","Washington (CNN) -- 'Nekvalitné video zachytilo niekoľko momentov z konania Williama D. Swensona počas brutálnej bitky v Afganistane: pobozkal ťažko zraneného kamaráta na čele, keď mu pomáhal nastúpiť do helikoptéry.' Prezident Barack Obama udelil Swensonovi Medailu cti za jeho činy v údolí Ganjgal 8. septembra 2009. Swenson, 34-ročný z Seattlu, je šiestym žijúcim príjemcom vojny v Iraku a Afganistane, ktorý získal toto čestné vyznamenanie.",William D. Swenson awarded Medal of Honor for bravery in Afghanistan! 'Kissing a wounded comrade on the forehead as he helped load him into a helicopter' #MedalOfHonor #Afghanistan,"William D. Swenson vyznamenaný Medailou cti za statočnosť v Afganistane! 'Pobozkal zraneného kamaráta na čele, keď mu pomáhal nastúpiť do helikoptéry' #MedailaCti #Afganistan",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_4d12097d-3774-4121-bd1b-bbe1cd085000_slk_edit.json,eng,"[eng,slk]",eng,"[eng,slk]",eng,light,DialyNews,y,n,y,n
9355faa0-cdc3-412e-95ac-1803fb946026,"Leon Brittan gained a double first from Trinity College, Cambridge, before becoming a lawyer, MP, minister, and EU commissioner. Leon Brittan was hailed as 'by far and away the most brilliant of his generation' after a stellar career which took him from Hampstead to the House of Commons. Born on September 25, 1939, the son of a north London doctor who had emigrated from Berlin, Brittan was brought up in the Orthodox Jewish tradition. He won a scholarship from his state primary school to Haberdasher's Aske's School in Hampstead and went on to gain a double first from Trinity College, Cambridge. At university, he became president of the Union and chairman of the Conservative Association. In 1961, he was called to the Bar and pursued a successful career as a libel lawyer, taking silk in 1978. His ambitions to enter the House of Commons were frustrated for 10 years. He fought and lost North Kensington in 1966 and 1970 and was rejected as Tory candidate by more than a dozen safer Tory seats. Finally, he was elected for Cleveland and Whitby in 1974. Before long, he was in Mrs Thatcher's shadow team, first as a deputy spokesman on devolution and then in employment. When she won the 1979 election, Lord Brittan became minister of state at the Home Office. Within two years, he was in the Cabinet as chief secretary to the Treasury. Only days before that promotion, he married divorcee Diana Peterson, who had two daughters. In this post, he was an instant success, courteous and decisive, and quickly aware of areas where compromises could be successfully reached in his battle to keep public spending under control. But a cloud on the horizon was the projected disappearance of his parliamentary constituency. Lord Brittan, despite his proven ability, had trouble finding another seat to fight. But the intervention of the then-home secretary, Willie Whitelaw, helped him gain the safe seat of Richmond, Yorkshire. After the 1983 Tory landslide, Brittan became the youngest home secretary since Winston Churchill. But his apparently unstoppable rise was halted and then reversed by two issues. His decision to ask the BBC not to transmit a programme on Ulster terrorism made him the target of accusations of censorship and of handing the IRA a major propaganda victory. All this made him a liability, and Mrs Thatcher transferred him to trade and industry, which everyone except him regarded as a demotion. But within weeks, he was caught up in the battle over Westland. Brittan and the rest of the Cabinet wanted an American rescue package to save the company, while Heseltine alone wanted a European solution and openly campaigned for one against all his Cabinet colleagues. There followed the leaked letter, and then Brittan was forced to apologise to MPs for allegedly misleading them over a confidential letter to Mrs Thatcher from British Aerospace, part of the European consortium bidding to rescue Westland. He gained some support with a fighting Commons performance, denying he had lied to the House about an alleged meeting with BAe chief executive Sir Raymond Lygo. But hours later, Sir Raymond issued a long statement contradicting Brittan's version of events. Later, Sir Raymond amended that by saying there had been a 'misunderstanding'. It was too late; the 1922 Committee of Tory back-benchers demanded his resignation, and despite pleas by Mrs Thatcher for him to stay, Brittan had to quit. But he took this devastating blow with equanimity. 'I am bruised,' he said, 'but I am certainly not bowed. And I'm not looking back, nor in any state of nostalgia.' Brittan was appointed a European commissioner in 1989 and a year later became vice-president of the Commission. He stayed in Brussels for a decade and it was during this time he gave the now-Liberal Democrat Deputy Prime Minister Nick Clegg a job in his office. He returned to Westminster in 2000 as Lord Brittan of Spennithorne but remained low-key until Prime Minister David Cameron gave him a job as a trade adviser in 2010. Last year, he was put in the spotlight when allegations of historic sex abuse emerged, and Home Secretary Theresa May set up an inquiry to investigate. Lord Brittan was likely to be called to give evidence over a dossier he received from MP Geoffrey Dickens in 1983, documenting the alleged involvement of VIP figures in a child sex ring. He had flatly denied failing to act on the abuse file. The second woman appointed to chair the investigation, Fiona Woolf, was forced to quit over links to him - she was a neighbour. Lord Brittan is survived by his widow and two stepdaughters.","Leon Brittan získal dvojité prvenstvo na Trinity College v Cambridge, predtým ako sa stal právnikom, poslancom, ministrom a komisárom EÚ. Leon Brittan bol dnes chválený ako 'najbrilantnejší zo svojej generácie' po hviezdnej kariére, ktorá ho priviedla z Hampsteadu do Dolnej snemovne. Narodil sa 25. septembra 1939 ako syn severolondýnskeho lekára, ktorý emigroval z Berlína, a bol vychovaný v ortodoxnej židovskej tradícii. Vyhral štipendium zo svojej štátnej základnej školy na Haberdasher's Aske's School v Hampstead a získal dvojité prvenstvo na Trinity College v Cambridge. Na univerzite sa stal prezidentom Únie a predsedom Konzervatívnej asociácie. V roku 1961 bol povolaný k Bar a pokračoval v úspešnej kariére ako právnik na ohovárania, pričom v roku 1978 získal hodnosť 'silk'. Jeho ambície vstúpiť do Dolnej snemovne boli frustrované 10 rokov. Bojoval a prehral v North Kensington v rokoch 1966 a 1970 a bol odmietnutý ako kandidát Tory viac ako tuctom bezpečnejších Tory kresiel. Nakoniec bol zvolený za Cleveland a Whitby v roku 1974. Čoskoro bol v tieni pani Thatcherovej, najprv ako zástupca hovorcu pre devolúciu a potom v zamestnaní. Keď vyhrala voľby v roku 1979, Lord Brittan sa stal ministrom štátu na ministerstve vnútra. Do dvoch rokov bol v Kabinete ako hlavný tajomník Pokladnice. Iba niekoľko dní pred týmto povýšením sa oženil s rozvedenou Dianou Petersonovou, ktorá mala dve dcéry. Na tomto poste bol okamžitým úspechom, zdvorilým a rozhodným, a rýchlo si uvedomil oblasti, kde by sa dalo úspešne dosiahnuť kompromisy v jeho boji za udržanie verejných výdavkov pod kontrolou. Oblak na horizonte však bolo plánované zánik jeho parlamentného volebného obvodu. Lord Brittan, napriek svojej osvedčenej schopnosti, mal problémy nájsť iné kreslo, za ktoré by bojoval. Ale intervencia vtedy ministra vnútra Willie Whitelawa mu pomohla získať bezpečné kreslo Richmond, Yorkshire. Po víťazstve Tory v roku 1983 sa Brittan stal najmladším ministrom vnútra od čias Winstona Churchilla. Ale jeho zdanlivo nebrzdený vzostup bol zastavený a potom obrátený dvomi problémami. Jeho rozhodnutie požiadať BBC, aby nepremierovala program o ulsterskom terorizme, z neho urobilo cieľ obvinenia zo cenzúry a z toho, že dal IRA veľké propagandistické víťazstvo. To všetko z neho urobilo záťaž a pani Thatcherová ho premiestnila do obchodu a priemyslu, čo všetci okrem neho považovali za degradáciu. Ale do niekoľkých týždňov bol zapletený do bitky o Westland. Brittan a zvyšok Kabinetu chceli americký záchranný balík na záchranu spoločnosti, zatiaľ čo Heseltine sám chcel európske riešenie a otvorene kampanil zaň proti všetkým svojim kolegom v Kabinete. Nasledoval uniknutý list a potom bol Brittan nútený ospravedlniť sa poslancom za údajné zavádzanie v súvislosti s konfidenciálnym listom pani Thatcherovej od British Aerospace, časti európskeho konzorcia, ktoré sa uchádzalo o záchranu Westlandu. Získal určitú podporu v boji proti Commons, keď odmietol, že lhal Snemovni o údajnom stretnutí s výkonným riaditeľom BAe Sir Raymondom Lygom. Ale o hodiny neskôr vydal Sir Raymond dlhé vyhlásenie, ktoré odporovalo Brittanovej verzií udalostí. Neskôr Sir Raymond upravil toto vyhlásenie, že došlo k 'neporozumeniu'. Bol to koniec; Výbor 1922 Toryovských poslancov požadoval jeho rezignáciu a napriek žiadostiam pani Thatcherovej, aby zostal, Brittan musel odísť. Ale tento deštruktívny úder niesol s vyrovnanosťou. 'Som otrasený,' povedal, 'ale určite nie zlomený. A nepozerám sa späť, ani nie som v žiadnom stave nostalgie.' Brittan bol vymenovaný za európskeho komisára v roku 1989 a o rok neskôr sa stal viceprezidentom Komisie. Zostal v Bruseli desať rokov a práve v tomto čase dal prácu v jeho úrade terajšiemu liberálnemu demokratovi a námestníkovi premiéra Nickovi Cleggovi. Do Westminsteru sa vrátil v roku 2000 ako Lord Brittan zo Spennithorne, ale zostal v ústraní, až kým mu premiér David Cameron v roku 2010 dal prácu ako obchodného poradcu. Minulý rok sa dostal do centra pozornosti, keď sa objavili obvinenia z historického sexuálneho zneužívania a ministerka vnútra Theresa Mayová ustanovila vyšetrovanie. Lord Brittan bol pravdepodobne vyzvaný, aby vypovedal o dosieri, ktorý dostal od poslanca Geoffreyho Dickensa v roku 1983, dokumentujúcom údajnú účasť významných osobností na sieti detskej prostitúcie. Plocho poprel, že by nekonal na základe spisu o zneužívaní. Druhá žena vymenovaná za predsedníčku vyšetrovania, Fiona Woolfová, bola nútená odstúpiť kvôli väzbám na neho - bola jeho susedkou. Lord Brittan je prežijúci svoju manželku a dve nevlastné dcéry.",Tribute to Leon Brittan: A brilliant career marked by highs and controversies. Read more about his life and achievements. #LeonBrittan #ToryHistory,Hold Leon Brittanovi: Brilantná kariéra poznačená vzostupmi a kontroverziami. Prečítajte si viac o jeho živote a úspechoch. #LeonBrittan #ToryHistória,slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_9355faa0-cdc3-412e-95ac-1803fb946026_slk_edit.json,eng,"[slk,eng]",eng,slk,eng,light,DialyNews,y,n,y,n
80479a4c-6d30-4d46-9985-f5cf7adc5b7b,"Billi Mucklow, known for her role on 'The Only Way is Essex', has shared her first pregnancy scan on Instagram. She's expecting her first child with West Ham striker Andy Carroll. The post received nearly 7000 likes. Mucklow's caption read, 'Can't wait to cuddle and kiss my little Bubba!' Carroll has two children from a previous relationship. The couple announced their engagement last year after a proposal in Rome.","Billi Mucklow, známa svojou účasťou v 'The Only Way is Essex', zdieľala svoje prvé ultrazvukové snímky na Instagrame. Čaká svoje prvé dieťa so svojím snúbencom, futbalistom Andy Carrollom z West Hamu. Príspevok získal takmer 7000 lajkov a množstvo blahoprajných reakcií od fanúšikov. Mucklow napísala, 'Nemôžem sa dočkať, až môžem objímať a bozkávať môjho malého Bubba!' Carroll má dve deti z predchádzajúceho vzťahu. Pár oznámil svoje zasnúbenie minulý rok po romantickom návrhu v Ríme.",Billi Mucklow shares first pregnancy scan! She's expecting her first child with fiancé Andy Carroll #BilliMucklow #AndyCarroll #BabyOnBoard,Billi Mucklow zdieľala prvé ultrazvukové snímky! Čaká svoje prvé dieťa so snúbencom Andy Carrollom #BilliMucklow #AndyCarroll #DieťaNaCeste,slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_80479a4c-6d30-4d46-9985-f5cf7adc5b7b_slk_polish.json,eng,"[slk,eng]",eng,"[slk,eng]",eng,moderate,DialyNews,y,n,y,n
b75265b3-08c6-46b6-b4d7-ac3debaf64a0,"'Donna Turner, a nursery nurse, was refused NHS-funded IVF treatment to have her deceased husband's baby.', 'Her husband Paul had his vasectomy reversed before dying from bowel cancer.', 'The NHS cited their policy of funding IVF only for couples, not single individuals.'","'Ošetrovateľka bola odmietnutá NHS-financovanou IVF liečbou, aby mala dieťa po svojom zosnulom manželovi.', 'Jej manžel Paul mal pred smrťou na rakovinu hrubého čreva zvrátenú vazektómiu.', 'NHS cituje svoju politiku financovania IVF len pre páry.'",NHS denies widow IVF treatment to have husband's baby because she's 'single' now. Read more: 'https://example.com',"NHS odmieta vdove IVF liečbu, aby mala manželove dieťa, pretože je 'už sama'. Prečítajte si viac: 'https://example.sk'",slk,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/slk/CoI_b75265b3-08c6-46b6-b4d7-ac3debaf64a0_slk_rewrite_complete.json,eng,slk,eng,"[slk,eng]",eng,complete,DialyNews,n,y,y,n
